date,open,high,low,close,volume
2025-11-06,2427.6510,2427.6510,2309.9510,2313.8010,84943
2025-11-07,2323.8010,2403.7510,2292.0010,2370.1010,63189
2025-11-10,2375.5010,2387.9510,2362.4010,2369.0510,46940
2025-11-11,2368.7510,2378.9510,2340.0010,2366.3010,20233
2025-11-12,2398.6010,2516.0010,2364.0510,2484.1010,194827
2025-11-13,2500.0010,2523.8011,2467.8510,2484.7510,72436
2025-11-14,2504.7010,2553.0011,2484.7510,2516.8510,94132
2025-11-17,2462.0000,2474.8000,2421.1000,2464.9000,92931
2025-11-18,2460.0000,2478.4500,2433.3500,2436.5500,78095
2025-11-19,2440.5500,2449.4500,2415.0000,2431.3000,33303
2025-11-20,2458.8000,2479.8500,2440.4000,2445.4000,54746
2025-11-21,2446.3000,2455.6500,2418.4500,2421.6000,14897
2025-11-24,2424.0000,2431.9500,2393.2000,2398.7500,22220
2025-11-25,2400.3500,2401.0000,2326.7500,2333.7000,48334
2025-11-26,2329.9500,2356.4500,2311.1000,2317.0500,57161
2025-11-27,2314.9000,2320.7000,2229.6500,2249.9000,101476
2025-11-28,2283.1500,2330.0500,2247.2500,2281.0500,121161
2025-12-01,2299.9500,2305.0500,2258.0000,2262.5500,60789
2025-12-02,2259.9000,2267.5000,2227.8500,2239.5000,71781
2025-12-03,2240.0000,2244.5500,2172.1000,2188.9500,74515
2025-12-04,2194.2500,2231.1500,2185.0000,2218.8000,42399
2025-12-05,2213.6500,2268.0000,2204.0000,2265.1000,139848
2025-12-08,2261.2000,2271.8500,2205.0500,2215.5000,35753
2025-12-09,2215.5000,2257.9000,2178.5500,2247.6500,56305
2025-12-10,2255.7500,2268.2000,2205.1500,2210.2500,66541
2025-12-11,2211.8500,2292.7500,2191.4000,2276.6500,54019
2025-12-12,2277.7000,2296.0000,2270.0000,2281.8500,31644
2025-12-15,2280.2000,2300.0000,2275.0000,2279.6000,24069
2025-12-16,2265.0500,2277.1000,2233.0000,2246.3000,43532
2025-12-17,2246.5000,2255.0000,2221.5000,2232.0500,23617
2025-12-18,2227.2000,2244.8000,2211.5000,2228.4500,15750
2025-12-19,2230.6500,2250.4000,2210.0000,2239.0500,18173
2025-12-22,2255.0500,2273.9500,2244.9500,2265.1500,51949
2025-12-23,2265.2000,2271.2000,2244.0500,2247.8500,28547
2025-12-24,2247.8500,2258.7500,2218.0000,2221.5500,29446
2025-12-26,2237.9000,2250.2000,2220.0000,2231.8500,38384
2025-12-29,2230.0000,2238.9500,2196.8500,2203.0000,55116
2025-12-30,2203.2500,2219.1000,2196.0000,2215.1000,42389
2025-12-31,2215.1000,2246.0000,2215.1000,2239.5000,82262
2026-01-01,2246.6000,2286.9500,2240.0500,2257.7500,36331
2026-01-02,2262.0000,2283.0000,2259.0000,2280.5000,25850
2026-01-05,2281.2000,2303.0000,2274.0500,2279.3500,64496
2026-01-06,2280.7000,2290.1500,2248.6500,2258.8000,21223
2026-01-07,2259.0000,2283.0000,2243.4500,2274.5000,19302
2026-01-08,2278.9500,2278.9500,2206.0000,2215.0000,86164
2026-01-09,2202.6000,2215.0000,2145.0000,2153.2000,145112
2026-01-12,2159.8000,2180.0000,2119.5500,2171.4500,72478
2026-01-13,2198.2500,2198.2500,2142.0000,2157.7000,49711
2026-01-14,2157.7000,2168.9000,2143.0000,2154.0000,39208
2026-01-16,2155.6000,2193.4500,2150.7000,2156.7000,94959
2026-01-19,2154.8000,2156.0500,2124.0000,2137.2500,42940
2026-01-20,2136.5000,2140.0000,2041.0500,2056.0500,114467
2026-01-21,2059.9500,2068.9500,2005.4500,2033.0000,81778
2026-01-22,2043.2000,2102.2000,2043.2000,2087.5000,61314
2026-01-23,2060.7000,2085.9500,1850.0000,1862.8000,536013
2026-01-27,1908.4000,1973.6500,1892.5000,1960.3500,313342
2026-01-28,1980.0500,2004.0000,1951.9500,1995.6500,142151
2026-01-29,2000.5000,2028.8000,1971.9000,2018.2000,128215
2026-01-30,2003.6000,2038.4000,1994.0000,2019.4000,73791
2026-02-02,1980.1500,2001.8000,1934.6000,1994.7000,53094
2026-02-03,2167.4500,2232.0000,2141.1000,2201.7000,390678
2026-02-04,2229.8000,2245.0000,2189.9000,2228.8500,127131
2026-02-05,2229.0500,2241.0000,2210.0000,2236.3500,91972
2026-02-06,2234.9000,2238.9500,2201.7000,2226.5500,53938
2026-02-09,2241.2500,2288.0000,2241.2500,2249.8000,117188
2026-02-10,2253.3500,2267.9000,2172.7500,2227.5500,119694
2026-02-11,2193.6000,2236.8000,2193.6000,2234.4000,45878
2026-02-12,2233.7500,2233.7500,2201.1000,2211.7000,73221
2026-02-13,2200.1000,2206.3000,2125.0000,2141.3500,70168
2026-02-16,2112.1000,2189.0000,2103.9500,2184.6500,66255
2026-02-17,2173.9500,2252.6000,2171.1000,2242.2500,110614
2026-02-18,2250.2000,2255.0000,2189.0000,2210.8000,60426
2026-02-19,2221.4500,2221.4500,2150.6500,2155.6500,51199
2026-02-20,2168.9000,2174.6500,2152.0500,2160.4500,29136
2026-02-23,2186.1000,2203.1000,2156.2000,2188.0500,48483
2026-02-24,2170.0500,2201.8500,2163.0000,2182.3500,50543
2026-02-25,2197.9000,2237.4500,2180.2500,2231.8500,58954
2026-02-26,2231.9000,2232.0500,2200.0000,2214.9500,54645
2026-02-27,2202.0500,2215.0500,2152.3500,2164.8000,30931
2026-03-02,2040.0500,2149.0000,2040.0500,2123.2500,146271
2026-03-04,2100.0500,2104.6500,2038.0000,2075.6000,70165
2026-03-05,2078.3500,2100.0000,2040.8000,2088.4500,74467
2026-03-06,2085.0000,2089.7000,2033.4500,2038.8000,50131
2026-03-09,1990.0000,2005.8500,1941.5000,1999.6500,66158
2026-03-10,2022.9500,2031.6000,1982.5500,1998.1500,63022
2026-03-11,2000.9000,2025.9000,1970.9000,1975.3000,1385021
2026-03-12,1967.9500,2026.2000,1946.8500,2002.1500,99615
2026-03-13,2001.0000,2008.0500,1945.6000,1960.3000,82260
2026-03-16,1964.8000,1994.0000,1946.7000,1975.6000,47472
2026-03-17,1996.8500,1996.8500,1945.0000,1975.3000,42696
2026-03-18,1994.4500,2026.7500,1982.2500,2007.5500,49283
2026-03-19,1980.1000,1989.1000,1930.0000,1936.9500,105586
2026-03-20,1952.0000,1974.1500,1921.3500,1927.3500,167674
2026-03-23,1912.0000,1912.0500,1820.9000,1832.3000,177337
2026-03-24,1899.6500,1899.6500,1814.0500,1818.9000,5727072
2026-03-25,1841.1000,1910.7000,1837.5500,1886.0500,250834
2026-03-27,1885.5000,1885.5000,1817.3500,1822.8500,89841
2026-03-30,1818.9000,1837.8500,1753.4500,1759.6500,147642
2026-04-01,1836.8000,1869.4500,1802.5500,1842.5000,210121
2026-04-02,1810.0000,1843.0000,1771.0000,1833.5500,110651
