date,open,high,low,close,volume
2025-11-07,1436.4500,1463.9000,1425.7500,1448.8000,50532
2025-11-10,1450.1500,1459.9000,1441.3500,1443.7500,69774
2025-11-11,1446.1500,1475.8000,1438.1500,1474.2000,82001
2025-11-12,1479.0000,1514.4500,1476.0000,1505.7000,187052
2025-11-13,1515.0000,1515.0000,1488.2500,1497.8000,122082
2025-11-14,1497.8500,1523.4500,1497.8000,1511.7000,171929
2025-11-17,1514.6000,1522.9500,1503.0000,1508.2000,76101
2025-11-18,1522.0000,1522.0000,1490.0000,1495.0000,56253
2025-11-19,1495.0500,1496.8500,1478.1000,1483.7000,91722
2025-11-20,1504.3500,1504.3500,1487.7000,1490.9000,89814
2025-11-21,1492.0000,1492.0000,1467.5000,1479.5500,51555
2025-11-24,1479.9500,1490.0000,1471.3000,1486.5500,128785
2025-11-25,1488.2500,1490.0000,1474.6000,1483.8500,173629
2025-11-26,1483.9000,1523.0000,1483.8500,1505.9000,176586
2025-11-27,1513.0000,1513.0000,1501.1000,1508.8000,34883
2025-11-28,1511.6500,1534.0000,1503.3000,1516.7500,119141
2025-12-01,1530.0000,1548.6000,1523.2000,1530.2000,138722
2025-12-02,1536.6000,1536.6000,1510.2000,1515.6000,83321
2025-12-03,1515.5500,1523.3000,1489.0000,1500.2000,148434
2025-12-04,1494.9000,1509.0000,1490.6000,1504.9000,96724
2025-12-05,1506.0000,1514.0000,1493.4500,1509.1000,49610
2025-12-08,1508.3000,1510.2000,1473.0500,1479.8000,31622
2025-12-09,1479.7500,1499.1000,1462.0500,1496.5000,33649
2025-12-10,1504.1500,1521.0500,1493.1000,1498.3000,47979
2025-12-11,1491.0500,1515.0000,1491.0500,1503.1000,113251
2025-12-12,1505.2000,1527.0000,1505.2000,1522.4000,47740
2025-12-15,1524.4500,1524.4500,1508.8500,1512.3000,32298
2025-12-16,1510.0500,1512.0000,1495.0000,1499.2000,17590
2025-12-17,1491.1500,1500.2000,1480.0000,1485.9000,40645
2025-12-18,1485.9000,1497.8000,1476.0500,1491.5000,33206
2025-12-19,1500.6500,1503.6000,1490.5500,1496.0000,106062
2025-12-22,1496.0000,1514.6500,1496.0000,1508.3500,103861
2025-12-23,1510.0000,1513.6500,1490.9000,1493.7500,127006
2025-12-24,1505.7500,1507.0000,1492.0500,1494.6500,112958
2025-12-26,1495.5000,1501.2500,1485.0000,1487.2500,146573
2025-12-29,1480.6500,1486.4500,1451.0500,1454.2500,112030
2025-12-30,1450.0000,1470.0000,1446.7500,1461.1000,33277
2025-12-31,1466.9500,1475.0000,1462.2000,1469.5000,23102
2026-01-01,1474.3500,1491.2500,1470.9000,1481.0000,30500
2026-01-02,1481.0000,1495.1500,1479.0000,1489.1500,67028
2026-01-05,1485.2500,1496.5500,1478.3500,1492.6000,22033
2026-01-06,1487.5500,1494.0000,1471.0500,1473.2500,28165
2026-01-07,1473.3000,1480.4500,1459.2000,1465.0000,254423
2026-01-08,1465.3500,1488.8000,1460.4500,1464.7000,66410
2026-01-09,1455.8500,1463.9000,1431.6500,1435.7500,43096
2026-01-12,1436.8000,1447.0000,1404.0500,1443.9000,50234
2026-01-13,1443.0000,1449.3500,1419.8000,1428.8000,50545
2026-01-14,1424.5500,1439.5000,1422.8000,1429.6500,38597
2026-01-16,1431.0500,1447.8500,1416.4500,1421.5000,46710
2026-01-19,1421.5000,1421.5000,1396.1000,1402.5000,40034
2026-01-20,1401.7000,1412.8000,1360.1000,1368.9000,44404
2026-01-21,1369.6000,1390.7000,1345.0500,1378.4500,92778
2026-01-22,1403.7000,1421.0000,1390.0000,1413.9000,93976
2026-01-23,1414.4000,1418.0000,1293.1000,1307.6000,234821
2026-01-27,1332.0500,1368.3000,1322.6000,1364.2000,167541
2026-01-28,1370.5500,1384.0000,1364.0000,1381.6000,950296
2026-01-29,1381.9000,1428.6500,1372.0000,1415.9000,307281
2026-01-30,1415.9500,1429.0000,1407.5500,1417.6500,99072
2026-02-01,1423.9000,1453.2000,1325.4000,1339.2000,120309
2026-02-02,1359.7500,1406.5000,1351.2500,1402.9000,72504
2026-02-03,1475.0000,1537.5000,1475.0000,1530.9000,436640
2026-02-04,1530.9000,1572.0000,1509.0000,1567.1000,370588
2026-02-05,1573.6500,1577.1500,1548.3500,1570.9000,208707
2026-02-06,1551.7500,1575.6500,1527.6500,1550.2000,146495
2026-02-09,1572.4000,1584.0000,1555.0500,1562.2500,156555
2026-02-10,1563.3000,1567.8000,1525.1000,1554.9500,231419
2026-02-11,1550.1500,1559.7000,1538.9500,1553.2000,169998
2026-02-12,1515.0500,1551.2000,1515.0500,1544.0000,89847
2026-02-13,1540.0500,1542.5000,1508.8500,1519.6000,80373
2026-02-16,1506.7000,1546.3000,1495.5500,1541.6000,169584
2026-02-17,1536.5000,1575.7000,1535.5000,1566.6000,183349
2026-02-18,1566.6000,1566.6000,1540.0000,1550.9500,75500
2026-02-19,1545.9000,1549.3500,1507.1000,1512.1000,100827
2026-02-20,1512.1000,1530.0000,1506.0000,1511.4500,29159
2026-02-23,1511.4500,1564.1000,1511.4500,1556.5500,203435
2026-02-24,1556.3000,1562.0000,1536.6000,1555.2500,102872
2026-02-25,1560.0500,1584.0000,1518.7000,1528.4500,653553
2026-02-26,1548.6000,1554.0000,1526.0000,1550.6000,59652
2026-02-27,1547.9500,1547.9500,1516.4500,1520.8500,75450
2026-03-02,1450.0500,1496.8500,1430.2000,1470.2000,315193
2026-03-04,1441.0000,1450.5500,1408.7000,1434.2500,150866
2026-03-05,1438.0500,1505.4500,1438.0500,1499.0000,109564
2026-03-06,1498.9000,1498.9000,1470.0000,1476.8000,77525
2026-03-09,1407.6500,1435.4500,1407.6000,1421.4000,176765
2026-03-10,1444.0000,1470.0000,1416.0000,1424.1000,159200
2026-03-11,1424.1000,1454.6000,1405.4500,1410.7000,103741
2026-03-12,1407.5000,1418.9000,1375.0000,1391.3000,163807
2026-03-13,1403.6000,1403.6000,1354.0000,1363.6000,146840
2026-03-16,1357.0000,1383.4000,1349.0000,1372.4000,127514
2026-03-17,1374.3000,1380.0000,1351.8000,1363.5000,431009
2026-03-18,1368.4500,1410.9500,1368.4000,1402.0500,106252
2026-03-19,1372.7000,1378.3500,1350.7000,1355.8000,192371
2026-03-20,1368.1500,1393.6000,1358.9500,1365.1000,92287
2026-03-23,1352.7500,1352.7500,1294.3000,1303.8000,166221
2026-03-24,1349.9500,1360.9000,1314.1000,1344.3000,198741
2026-03-25,1352.6500,1392.5500,1352.6500,1375.5000,202736
2026-03-27,1375.5000,1375.5000,1330.2500,1337.6000,73498
2026-03-30,1324.3500,1337.0000,1308.0000,1313.4000,164506
2026-04-01,1342.3500,1405.0000,1342.3500,1385.2000,219461
2026-04-02,1359.6500,1383.9500,1332.2500,1377.3000,162433
