date,open,high,low,close,volume
2025-11-06,7786.2500,7850.0000,7700.0000,7784.2000,26752
2025-11-07,7823.9500,7897.5500,7627.9000,7638.2000,14742
2025-11-10,7633.0000,7645.1000,7516.5000,7532.6500,7953
2025-11-11,7599.9500,7599.9500,7441.1500,7499.4500,30691
2025-11-12,7537.0000,7537.0000,7458.6500,7501.7500,3488
2025-11-13,7500.0000,7510.7500,7425.0000,7439.9000,10875
2025-11-14,7450.0500,7459.2000,7380.5000,7419.0000,2972
2025-11-17,7574.9500,7574.9500,7415.0000,7488.4000,3484
2025-11-18,7456.0000,7473.0000,7374.1000,7384.1500,5268
2025-11-19,7400.0000,7480.0000,7331.0000,7457.9500,34181
2025-11-20,7518.0500,7518.0500,7412.3000,7421.2000,1958
2025-11-21,7458.3500,7458.3500,7384.3000,7392.9500,3112
2025-11-24,7392.9500,7420.0000,7331.2500,7355.4500,8280
2025-11-25,7399.0000,7415.9500,7313.0000,7329.2000,24522
2025-11-26,7330.0500,7400.0000,7313.0500,7391.8000,2985
2025-11-27,7396.8500,7396.9000,7315.0000,7326.3000,3283
2025-11-28,7364.2500,7364.2500,7297.0000,7332.5000,3753
2025-12-01,7343.2000,7393.1000,7282.0000,7287.4000,2677
2025-12-02,7285.9000,7299.8500,7230.0000,7243.2500,5964
2025-12-03,7251.5000,7251.5000,7150.5000,7178.8500,5632
2025-12-04,7180.0000,7228.6500,7161.4000,7198.3500,2762
2025-12-05,7205.0000,7218.3500,7150.0000,7189.2500,3510
2025-12-08,7188.9500,7209.5000,7085.5000,7094.9000,5198
2025-12-09,7090.0500,7173.5000,7058.5000,7090.5500,2634
2025-12-10,7099.5500,7118.8500,7007.0000,7019.1000,2511
2025-12-11,7039.9500,7068.5500,6974.0000,7009.8000,4030
2025-12-12,7076.4000,7125.0000,7001.0000,7101.8000,4733
2025-12-15,7099.9500,7099.9500,7015.1500,7088.3500,4561
2025-12-16,7117.9500,7147.9500,7026.6000,7051.3000,14562
2025-12-17,7069.1500,7082.9000,6912.0000,6917.3000,4914
2025-12-18,6929.2500,6953.9500,6880.0000,6919.8000,4440
2025-12-19,6974.2500,7022.4000,6905.0000,7014.3500,5729
2025-12-22,7015.2000,7100.0000,7015.2000,7055.1500,7233
2025-12-23,7061.0000,7093.0000,7014.1000,7074.0500,4375
2025-12-24,7074.0500,7209.0000,7050.6500,7171.6500,11554
2025-12-26,7209.3500,7209.3500,7134.5000,7154.7000,2926
2025-12-29,7197.9000,7197.9000,7070.0000,7079.9500,3896
2025-12-30,7090.8000,7090.8000,6935.5500,6989.3000,5991
2025-12-31,6954.2500,7145.9500,6954.0500,7042.6000,2365
2026-01-01,7100.2500,7120.0000,7027.5000,7111.5000,5039
2026-01-02,7111.5000,7150.9500,7078.0000,7129.3000,8105
2026-01-05,7168.6500,7168.6500,7065.0000,7081.4000,4289
2026-01-06,7050.2000,7359.3500,7048.0000,7347.8500,17888
2026-01-07,7350.0000,7488.7500,7317.5000,7448.4500,84880
2026-01-08,7400.2500,7445.0000,7328.2500,7362.3000,269549
2026-01-09,7359.4000,7360.0000,7224.2500,7259.5500,4684
2026-01-12,7201.0000,7289.6500,7108.1500,7265.8500,18780
2026-01-13,7270.2000,7321.6500,7240.6000,7312.3000,2401
2026-01-14,7297.2000,7323.0500,7248.9500,7270.7000,4847
2026-01-16,7144.7000,7299.0000,7070.0000,7235.9000,2624
2026-01-19,7164.8000,7262.4000,7108.1000,7128.2000,3328
2026-01-20,7120.3000,7120.3000,6886.8500,6904.4000,21609
2026-01-21,6903.2000,6910.0000,6740.0000,6827.2500,17177
2026-01-22,6866.6000,6914.9500,6784.3500,6797.0000,5109
2026-01-23,6806.0000,6834.3500,6696.4500,6801.3000,6590
2026-01-27,6800.0000,6844.8000,6705.0500,6795.1500,4229
2026-01-28,6798.0000,6888.0000,6680.0000,6849.3000,5698
2026-01-29,6973.6000,6973.6000,6758.7000,6802.7000,5181
2026-01-30,6768.0500,6974.8500,6768.0500,6959.9000,9585
2026-02-02,7068.8500,7068.8500,6834.0000,6933.6500,3305
2026-02-03,7030.4000,7163.5500,7000.3500,7085.4500,15592
2026-02-04,7091.0000,7155.0000,7055.5000,7114.0500,5223
2026-02-05,7149.2500,7149.2500,7044.5000,7122.7000,30318
2026-02-06,7020.1000,7178.0000,6993.9000,7155.8000,11214
