date,open,high,low,close,volume
2025-11-07,1228.3000,1228.6000,1217.0000,1223.2500,1414293
2025-11-10,1218.5000,1232.2000,1215.4000,1217.0500,205658
2025-11-11,1221.8500,1225.0000,1209.5000,1222.1000,987664
2025-11-12,1225.1500,1232.9000,1217.0500,1223.7500,101162
2025-11-13,1221.3500,1234.8000,1212.8000,1224.9000,464815
2025-11-14,1227.0500,1245.7500,1223.2500,1242.7500,311264
2025-11-17,1243.6500,1261.0000,1240.4500,1249.3500,130168
2025-11-18,1249.7500,1273.3500,1248.5500,1265.2500,107280
2025-11-19,1269.9500,1273.0000,1257.6500,1270.0500,65359
2025-11-20,1276.9500,1287.0000,1263.0000,1285.2500,1253540
2025-11-21,1281.5000,1284.1000,1273.1500,1275.3500,62419
2025-11-24,1275.8000,1290.8500,1267.1500,1268.6000,123926
2025-11-25,1269.0000,1276.2000,1264.2000,1266.0000,32178
2025-11-26,1267.0500,1293.0000,1267.0500,1290.1500,113451
2025-11-27,1298.9500,1304.0000,1281.1500,1287.3500,566893
2025-11-28,1286.1000,1290.0000,1275.1000,1280.2500,62756
2025-12-01,1292.9000,1292.9000,1268.5000,1275.8500,65495
2025-12-02,1268.3500,1280.7000,1255.5500,1259.4500,89408
2025-12-03,1262.3000,1272.9000,1255.0000,1270.9000,116743
2025-12-04,1274.3500,1282.3000,1269.8500,1280.3000,461209
2025-12-05,1275.0000,1284.9500,1267.5500,1282.8500,77331
2025-12-08,1283.0000,1288.9000,1265.6500,1273.6000,66678
2025-12-09,1270.3000,1281.2500,1263.8500,1275.0000,54765
2025-12-10,1268.6000,1283.9500,1268.1000,1278.8000,227722
2025-12-11,1281.7000,1281.9000,1270.7500,1272.4500,529357
2025-12-12,1280.6000,1290.6000,1277.7000,1286.3000,35218
2025-12-15,1284.0000,1289.3000,1280.1500,1284.2000,24304
2025-12-16,1280.0000,1280.0000,1217.1000,1219.6500,155845
2025-12-17,1219.6500,1235.4500,1219.5500,1224.6500,147080
2025-12-18,1227.8500,1238.6500,1220.0500,1229.7000,367366
2025-12-19,1237.9500,1241.3500,1228.6500,1230.5500,33217
2025-12-22,1236.0000,1236.2000,1227.0500,1233.1000,37269
2025-12-23,1234.3000,1237.7000,1223.4500,1224.7000,40347
2025-12-24,1231.8000,1235.1500,1224.8500,1226.7000,146531
2025-12-26,1223.2000,1230.0000,1222.0000,1228.0500,54459
2025-12-29,1228.0500,1233.5000,1219.2000,1232.0500,27196
2025-12-30,1232.0500,1251.5000,1232.0000,1246.0000,95426
2025-12-31,1246.0500,1271.4500,1245.7500,1268.7000,130326
2026-01-01,1269.1000,1279.0000,1263.5500,1274.3000,305119
2026-01-02,1274.4000,1281.4500,1264.3000,1267.5000,43114
2026-01-05,1271.0000,1289.3000,1270.2000,1285.8500,135236
2026-01-06,1300.0000,1303.9500,1285.8000,1293.6000,233236
2026-01-07,1290.2500,1298.0000,1284.4500,1295.8500,117546
2026-01-08,1287.3000,1304.3000,1283.8000,1286.8500,307099
2026-01-09,1283.1500,1295.0500,1270.2000,1271.9500,158976
2026-01-12,1273.4000,1278.6500,1267.0000,1274.2500,573805
2026-01-13,1270.7000,1283.0500,1258.6500,1261.9000,76174
2026-01-14,1251.4500,1308.4000,1251.4500,1298.5000,354658
2026-01-16,1300.8000,1309.2500,1286.7000,1294.5500,92702
2026-01-19,1306.0000,1326.0000,1296.7500,1307.5500,160738
2026-01-20,1303.6500,1311.2500,1290.0000,1293.1000,313856
2026-01-21,1293.0500,1297.3000,1267.7000,1284.3500,81340
2026-01-22,1286.4500,1298.9000,1281.5000,1295.3500,235421
2026-01-23,1291.1500,1299.9500,1248.9500,1260.1000,572039
2026-01-27,1286.1000,1333.5000,1279.9500,1314.4500,5982860
2026-01-28,1340.8500,1369.1500,1310.2500,1320.5000,577168
2026-01-29,1320.5000,1367.0000,1303.7500,1364.3500,272856
2026-01-30,1354.0000,1378.7000,1352.3500,1370.2500,253314
2026-02-01,1371.0500,1384.6000,1332.6000,1338.3500,115963
2026-02-02,1334.3500,1351.9000,1303.0000,1317.8500,275979
2026-02-03,1375.8000,1418.3000,1345.5000,1355.5500,222582
2026-02-04,1360.0000,1370.0000,1336.5000,1338.3500,175910
2026-02-05,1345.7500,1345.7500,1318.0000,1330.6500,290597
2026-02-06,1331.0500,1346.4000,1326.4500,1341.5500,104821
2026-02-09,1345.1500,1347.6500,1331.0000,1341.3500,136868
2026-02-10,1350.0000,1360.0000,1342.8500,1356.4000,68014
2026-02-11,1352.8000,1359.9000,1344.8500,1347.7000,95707
2026-02-12,1342.5500,1357.7500,1335.9500,1340.0000,292541
2026-02-13,1335.0000,1346.0000,1316.2000,1333.8000,400818
2026-02-16,1323.4500,1362.0000,1323.4500,1358.2500,226038
2026-02-17,1359.4500,1360.6500,1350.5500,1357.0500,371459
2026-02-18,1364.8500,1378.5000,1354.0000,1377.0500,87749
2026-02-19,1377.3500,1382.2500,1350.7500,1355.9500,86399
2026-02-20,1351.0000,1376.1500,1351.0000,1368.2500,129205
2026-02-23,1375.3500,1402.2000,1375.3500,1386.5500,376067
2026-02-24,1386.6500,1396.3500,1383.6000,1387.6500,650215
2026-02-25,1397.9500,1404.3500,1388.0000,1402.5000,86822
2026-02-26,1401.0500,1405.9500,1386.1500,1394.7000,341655
2026-02-27,1394.6000,1394.7500,1381.0000,1383.8500,100995
2026-03-02,1362.9000,1384.6500,1353.6500,1373.1500,182040
2026-03-04,1336.0500,1357.7500,1326.6500,1351.0500,134754
2026-03-05,1351.7000,1357.3500,1334.8000,1350.7000,271061
2026-03-06,1345.8000,1345.8000,1313.2500,1315.9000,198361
2026-03-09,1280.1500,1291.3000,1260.2500,1288.4000,155470
2026-03-10,1291.5500,1319.7500,1285.0000,1315.0500,65290
2026-03-11,1314.9500,1316.9000,1251.9500,1259.0500,504573
2026-03-12,1247.9000,1251.0000,1231.3000,1233.7500,958701
2026-03-13,1229.2000,1234.0000,1194.5000,1197.2500,322529
2026-03-16,1193.0500,1219.8500,1180.0000,1214.7500,216060
2026-03-17,1222.0000,1232.0500,1210.0000,1229.1000,314851
2026-03-18,1235.4500,1260.0000,1225.0000,1252.9000,313203
2026-03-19,1222.2000,1240.3500,1202.0000,1206.6500,704499
2026-03-20,1214.7500,1231.2500,1200.0000,1204.2500,195933
2026-03-23,1180.3500,1184.8500,1165.6000,1170.6500,391998
2026-03-24,1188.9500,1202.2000,1169.7000,1192.0000,636634
2026-03-25,1195.3000,1238.9500,1195.3000,1222.4500,1152633
2026-03-27,1199.9500,1214.3500,1199.9000,1205.2000,427494
2026-03-30,1185.1000,1185.1000,1153.5500,1161.9500,738665
2026-04-01,1181.2000,1208.0000,1180.0000,1192.8500,267780
2026-04-02,1175.9500,1202.8000,1150.5000,1198.1500,614815
