date,open,high,low,close,volume
2025-11-11,8832.9004,8945.0000,8725.0000,8901.5498,8611
2025-11-12,8925.1504,8935.9502,8797.7002,8867.0498,17846
2025-11-13,8923.0000,8923.0000,8837.9502,8867.6504,13311
2025-11-14,8867.7002,8867.7002,8783.5000,8837.0498,78660
2025-11-17,8838.8496,9025.0000,8838.8496,8957.0996,10263
2025-11-18,8957.2500,8998.1504,8899.0000,8914.7500,8281
2025-11-19,8977.5498,8977.5498,8867.0000,8880.2002,9701
2025-11-20,8974.0498,9001.0000,8890.0000,8983.7500,6142
2025-11-21,8979.0000,8979.0000,8863.7998,8884.5498,15731
2025-11-24,8989.4004,9049.0000,8873.7002,9005.4502,8859
2025-11-25,9020.0000,9142.0000,9005.4502,9046.0996,9547
2025-11-26,9050.0000,9180.0000,9033.9004,9164.2998,9139
2025-11-27,9199.0000,9250.0000,8994.4004,9021.3496,103286
2025-11-28,9020.3496,9090.0000,8920.0498,9075.1504,5570
2025-12-01,9095.1504,9189.1504,9057.2998,9092.9004,20204
2025-12-02,9092.5000,9137.1504,8990.0000,9085.2998,8882
2025-12-03,9122.9502,9122.9502,8952.2998,9004.3496,28699
2025-12-04,9023.2500,9100.0000,8985.7002,9087.5000,9381
2025-12-05,9069.9502,9130.0000,9046.0000,9107.8496,22026
2025-12-08,9109.0000,9120.0000,8960.0000,9021.8496,4864
2025-12-09,9000.0000,9010.3496,8882.5000,8956.3496,8725
2025-12-10,8929.3496,9000.0000,8907.0498,8988.5498,16617
2025-12-11,8988.7500,9086.0498,8956.2500,9051.7998,4177
2025-12-12,9055.5498,9082.9502,8965.7998,9014.2500,42938
2025-12-15,9098.9004,9098.9004,8885.5498,8933.5996,15574
2025-12-16,8997.5498,9025.5000,8894.5498,8990.6504,6022
2025-12-17,8990.5996,9006.7998,8855.2998,8883.6504,5911
2025-12-18,8882.0498,8900.0498,8735.0000,8828.9502,32567
2025-12-19,8812.3496,9014.0000,8812.3496,9002.6504,3580
2025-12-22,9002.0000,9182.4004,8994.7500,9165.2998,17148
2025-12-23,9190.0000,9190.0000,9077.0000,9095.2998,4720
2025-12-24,9099.0000,9193.0498,9071.0000,9165.7002,13738
2025-12-25,9165.7002,9165.7002,9165.7002,9165.7002,0
2025-12-26,9165.8496,9179.1504,9057.5996,9066.4502,2878
2025-12-29,9030.0000,9125.0000,9030.0000,9083.9502,4219
2025-12-30,9070.7998,9299.5000,9025.2002,9287.7500,9744
2025-12-31,9325.0000,9396.5498,9297.0000,9343.2002,17207
2026-01-01,9351.1504,9583.9502,9316.9502,9560.5996,27648
2026-01-02,9579.9502,9633.2998,9311.2500,9500.8496,34596
2026-01-05,9510.5000,9677.9502,9463.9502,9498.9502,10086
2026-01-06,9550.0498,9782.7500,9533.6504,9659.3496,22238
2026-01-07,9635.2002,9808.7500,9610.4004,9793.0000,7317
2026-01-08,9755.5498,9883.2998,9721.5996,9760.9004,21570
2026-01-09,9711.4502,9832.2998,9537.7500,9557.4004,12614
2026-01-12,9558.0000,9580.0000,9360.0996,9504.3496,102887
2026-01-13,9515.0000,9574.0000,9457.5996,9556.0996,6055
2026-01-14,9580.0000,9608.7002,9495.0498,9576.5996,65163
2026-01-15,9576.5996,9576.5996,9576.5996,9576.5996,0
2026-01-16,9585.0000,9609.9004,9389.1504,9480.2998,19340
2026-01-19,9468.0498,9486.0000,9395.8496,9427.7500,3371
2026-01-20,9440.0000,9450.0000,9155.0000,9176.5000,6207
2026-01-21,9112.8496,9250.0000,9074.6504,9181.5498,5493
2026-01-22,9181.7500,9388.7002,9181.7500,9365.2500,6836
2026-01-23,9399.9502,9545.0000,9332.8496,9413.2998,8482
2026-01-26,9413.2998,9413.2998,9413.2998,9413.2998,0
2026-01-27,9439.9502,9511.5498,9328.2500,9495.0498,5341
2026-01-28,9495.2500,9538.0000,9250.2500,9435.2500,17845
2026-01-29,9479.0000,9530.0000,9379.5000,9507.7500,10541
2026-01-30,9499.9004,9613.4004,9390.2500,9592.9004,3943
2026-02-02,9458.0000,9518.0000,9252.0000,9494.2002,6687
2026-02-03,9700.0000,9900.0000,9531.1504,9592.2998,10888
2026-02-04,9581.1504,9728.2002,9530.0000,9634.7002,3548
2026-02-05,9640.0000,9680.5000,9606.9502,9639.0000,3909
2026-02-06,9575.7002,9668.2998,9475.0000,9518.5996,3149
2026-02-09,9585.0996,9624.0000,9511.0000,9587.3496,4146
2026-02-10,9617.9502,9830.0000,9590.0000,9771.0996,6856
2026-02-11,9798.0000,9905.6504,9796.0996,9867.7002,8719
2026-02-12,9850.3496,9928.0000,9809.5000,9837.2998,10158
2026-02-13,9780.5996,9898.0000,9729.5498,9761.9004,3551
2026-02-16,9702.0000,9775.0000,9642.2002,9691.7002,7557
2026-02-17,9661.0498,9865.0000,9631.1504,9829.5498,6852
2026-02-18,9750.0498,10005.9004,9750.0498,9978.2500,14492
2026-02-19,10019.9502,10059.0498,9699.5996,9722.5498,8948
2026-02-20,9721.4502,9822.5000,9672.0000,9806.9004,4453
2026-02-23,9820.2002,9933.2002,9818.7998,9905.5996,4049
2026-02-24,9851.0498,9862.0000,9659.0000,9824.0996,9822
2026-02-25,9825.6504,10157.1504,9825.6504,10098.7500,10928
2026-02-26,10100.9004,10186.5996,10030.0498,10108.7998,9002
2026-02-27,10108.0000,10108.0000,9931.5000,9968.9502,6563
2026-03-02,9652.5000,9920.0000,9572.0000,9778.0996,9594
2026-03-04,9450.0000,9700.0000,9450.0000,9640.8496,15791
2026-03-05,9641.0498,9854.7998,9641.0498,9809.3496,4657
2026-03-06,9819.7500,9883.2500,9695.9502,9812.6504,8088
2026-03-09,9684.8500,9684.8500,9356.0500,9379.1500,8877
2026-03-10,9429.0500,9634.9000,9351.5000,9606.5500,10816
2026-03-11,9537.0498,9660.0996,9275.0000,9330.9502,8744
2026-03-12,9270.0498,9270.0996,9080.0498,9165.1504,20110
2026-03-13,9075.0000,9121.5498,8832.0000,8879.8496,19673
2026-03-16,8832.7998,9106.3496,8740.5996,9078.6504,12766
2026-03-17,9080.7500,9247.9004,9007.9502,9106.2998,6360
2026-03-18,9150.0000,9287.9004,9142.5996,9267.1504,4475
2026-03-19,9060.0498,9153.2500,8811.0000,8867.2998,8374
