date,open,high,low,close,volume
2025-11-07,1040.5500,1077.0000,1034.4000,1066.6500,147839
2025-11-10,1069.4000,1087.9000,1063.0500,1085.4000,392999
2025-11-11,1042.0500,1044.6500,997.0000,1005.3500,1101846
2025-11-12,1009.1000,1018.4500,1009.1000,1011.9000,429379
2025-11-13,1011.9000,1019.8500,1003.3500,1005.1500,916763
2025-11-14,1004.9000,1019.8500,1003.0000,1018.2000,71137
2025-11-17,1024.1000,1033.0000,1017.0000,1026.4500,108148
2025-11-18,1026.1500,1026.1500,1012.0000,1013.5500,82122
2025-11-19,1011.5500,1016.2500,1004.7500,1005.5500,682218
2025-11-20,1007.6500,1031.2000,1007.6500,1028.5000,464314
2025-11-21,1020.0000,1027.6000,1002.4500,1004.9500,118318
2025-11-24,1001.2000,1009.5000,992.0000,993.9500,354225
2025-11-25,996.0000,996.1000,985.0000,986.0000,93929
2025-11-26,986.0000,1012.8000,981.4500,1010.8000,139797
2025-11-27,1016.0000,1044.8000,1009.7000,1033.7000,778754
2025-11-28,1035.2000,1043.4500,1030.8000,1037.6500,130633
2025-12-01,1040.7500,1044.8500,1019.1500,1020.5000,246059
2025-12-02,1014.0000,1036.0000,1014.0000,1025.2500,96988
2025-12-03,1024.2000,1025.7500,1013.6500,1020.1000,116100
2025-12-04,1015.7500,1030.7000,1015.7500,1029.0500,439482
2025-12-05,1029.9500,1061.0000,1027.8500,1048.4500,295030
2025-12-08,1046.1000,1048.4500,1023.0000,1026.2500,212865
2025-12-09,1022.1000,1025.1500,1014.0000,1016.5000,97342
2025-12-10,1017.5000,1021.3500,1007.5500,1010.4000,91860
2025-12-11,1010.2000,1020.6000,1000.5000,1005.9000,390003
2025-12-12,1004.9500,1020.7500,1003.5000,1017.4500,312198
2025-12-15,1017.2500,1017.2500,1007.6500,1012.7500,404128
2025-12-16,1006.5000,1010.0000,997.0000,998.5000,1009508
2025-12-17,998.5500,1010.9500,995.5000,999.8000,187486
2025-12-18,1003.7500,1009.2000,995.0000,1000.0000,629574
2025-12-19,1001.2000,1014.1000,1001.2000,1008.0000,66984
2025-12-22,1013.4500,1014.9000,1005.0000,1007.5000,86216
2025-12-23,1013.0000,1018.0000,1006.0500,1011.4000,194588
2025-12-24,1015.9000,1037.4500,1006.0000,1014.8500,402310
2025-12-26,1009.1000,1009.2500,997.4500,999.8000,285386
2025-12-29,1000.2000,1005.8000,990.0000,997.6000,591393
2025-12-30,995.3000,997.3500,987.4000,989.3000,200455
2025-12-31,994.2500,994.2500,978.3500,986.6500,441735
2026-01-01,988.0000,988.0000,968.9500,972.2000,374510
2026-01-02,976.9000,993.8000,961.8000,990.6500,125019
2026-01-05,984.7500,999.5500,975.2000,978.6500,857613
2026-01-06,981.5500,987.0000,973.5000,977.8500,436480
2026-01-07,976.0000,976.4000,965.5500,969.0000,203288
2026-01-08,969.0000,978.1500,965.1500,971.8000,429941
2026-01-09,970.0000,983.0000,953.9500,960.5500,126661
