date,open,high,low,close,volume
2025-11-06,410.0500,415.0000,407.5000,408.5500,745443
2025-11-07,408.1500,415.9000,405.1500,414.2500,305393
2025-11-10,416.0000,420.3000,413.8500,416.7000,822641
2025-11-11,419.5500,428.0000,417.4500,427.2000,890313
2025-11-12,428.8500,429.6000,421.8500,424.4500,610481
2025-11-13,423.4500,425.2500,419.0500,419.8000,1517190
2025-11-14,418.5500,428.4500,418.5500,426.9500,930131
2025-11-17,428.6500,429.3500,422.3000,424.5000,1043348
2025-11-18,425.0500,429.4000,420.3000,420.8500,906802
2025-11-19,420.8500,424.0000,415.1000,423.4000,482594
2025-11-20,424.5500,427.1500,422.2500,423.0000,1068565
2025-11-21,421.5000,423.0500,415.3000,416.2000,1614435
2025-11-24,414.9000,415.1500,401.6000,403.8000,576831
2025-11-25,406.0000,412.4000,406.0000,410.1500,684912
2025-11-26,410.8500,416.4000,408.5000,415.0500,366143
2025-11-27,416.9500,417.2000,412.0000,413.0500,371899
2025-11-28,413.7000,415.2000,408.5000,411.5500,360087
2025-12-01,414.0000,419.1500,413.5000,417.1500,284710
2025-12-02,417.3000,418.5000,411.1000,412.9500,234487
2025-12-03,412.7500,412.7500,403.4000,404.1500,397165
2025-12-04,405.9000,409.4000,401.6500,406.9000,924058
2025-12-05,409.5000,410.6500,405.5000,406.7000,362035
2025-12-08,406.7000,406.8000,385.0500,386.5000,954570
2025-12-09,386.0500,391.0000,380.6000,389.6500,1338925
2025-12-10,389.6500,391.5500,385.8500,387.3500,525148
2025-12-11,385.5500,390.0000,385.2000,387.8500,970347
2025-12-12,388.0000,394.2500,388.0000,389.4000,547918
2025-12-15,389.9000,392.4500,388.0000,390.7000,459462
2025-12-16,390.7000,391.1500,385.0000,387.9500,338139
2025-12-17,387.9500,388.3000,385.0500,385.4500,201333
2025-12-18,383.7000,386.8000,380.3500,383.6500,556825
2025-12-19,384.3500,393.3000,383.5500,392.7500,663035
2025-12-22,392.7500,399.3500,392.7000,398.9000,358367
2025-12-23,399.0000,402.4500,396.0000,399.3500,284163
2025-12-24,399.0000,403.7500,397.8000,400.0500,656660
2025-12-26,403.1500,407.5000,397.1500,398.4000,824080
2025-12-29,400.0500,403.2500,392.4500,393.4000,557034
2025-12-30,395.9500,396.9000,389.5000,393.5500,917515
2025-12-31,395.4500,401.2000,395.4500,399.7000,727558
