date,open,high,low,close,volume
2025-11-07,2048.6000,2049.5000,1995.8000,2001.1000,1858254
2025-11-10,1995.0000,2027.4500,1994.0000,2021.1500,67953
2025-11-11,2029.4000,2056.2000,2019.1500,2042.5500,1042136
2025-11-12,2050.0500,2078.5500,2050.0500,2073.5000,180105
2025-11-13,2090.1001,2107.0000,2078.5500,2092.1499,482662
2025-11-14,2088.7000,2107.6001,2081.0000,2098.7000,53860
2025-11-17,2110.0000,2122.0000,2102.0000,2112.2000,47762
2025-11-18,2122.0000,2159.0000,2110.0500,2149.8999,134764
2025-11-19,2151.1499,2165.8999,2146.5000,2161.3000,175355
2025-11-20,2155.0000,2169.0000,2149.3999,2159.4500,424508
2025-11-21,2149.0000,2174.7000,2148.3501,2162.8501,50952
2025-11-24,2161.0500,2166.0000,2139.2500,2150.8501,86878
2025-11-25,2161.0000,2170.9500,2139.0000,2160.7500,206512
2025-11-26,2105.0000,2134.0000,2100.0000,2127.1001,658627
2025-11-27,2130.0000,2134.3501,2103.5000,2115.9500,444496
2025-11-28,2117.8000,2129.0500,2096.2500,2101.0500,61011
2025-12-01,2113.8999,2119.3501,2083.0000,2089.6001,46165
2025-12-02,2083.0000,2114.5000,2083.0000,2101.8501,70868
2025-12-03,2099.8999,2110.3501,2082.0000,2086.1001,81413
2025-12-04,2088.7500,2108.7500,2074.7000,2103.5000,435861
2025-12-05,2091.8000,2111.6499,2091.2500,2107.7000,46562
2025-12-08,2115.0000,2115.0000,2078.8000,2085.9500,65933
2025-12-09,2085.0000,2100.8000,2080.7500,2087.6001,37634
2025-12-10,2066.0000,2096.5000,2062.8000,2066.7000,134401
2025-12-11,2061.2000,2068.4500,2038.0000,2053.2500,419443
2025-12-12,2053.1499,2086.0000,2052.5500,2083.3501,35898
2025-12-15,2077.1001,2079.0000,2062.0000,2071.9500,19857
2025-12-16,2071.9500,2106.0000,2071.9500,2101.8000,84204
2025-12-17,2120.5000,2126.0000,2096.5000,2108.6499,80986
2025-12-18,2108.8000,2116.0000,2087.4500,2092.0500,650018
2025-12-19,2104.3999,2116.7000,2082.5000,2096.3000,226045
2025-12-22,2116.0500,2151.5000,2102.3999,2147.1499,95549
2025-12-23,2164.8999,2164.8999,2119.3000,2122.3999,40842
2025-12-24,2131.8999,2137.4500,2115.0000,2123.7500,137894
2025-12-26,2124.0000,2124.0000,2101.8000,2105.7000,25826
2025-12-29,2103.1001,2111.0000,2079.0000,2081.6499,92228
2025-12-30,2077.5500,2102.0500,2074.0500,2099.8501,40548
2025-12-31,2092.6499,2120.7000,2089.8501,2105.7000,76864
2026-01-01,2107.7500,2123.8999,2106.3501,2110.1001,228962
2026-01-02,2110.1001,2124.5000,2098.3501,2106.7000,33758
2026-01-05,2106.2500,2111.9500,2096.3000,2104.5000,58550
2026-01-06,2113.2500,2121.0000,2088.0000,2105.9500,20738
2026-01-07,2090.3000,2104.1001,2077.0000,2084.0500,69052
2026-01-08,2081.6499,2092.0000,2055.2500,2066.3000,259290
2026-01-09,2067.0500,2084.1499,2023.3000,2027.3000,132978
2026-01-12,2002.2000,2048.7000,2001.0000,2043.6500,206841
2026-01-13,2040.0500,2049.9500,2015.0000,2026.5000,209335
2026-01-14,2011.4500,2033.6000,2008.3500,2023.0000,284491
2026-01-16,2019.4500,2025.0000,1989.8000,2016.0000,302780
2026-01-19,2017.0000,2020.5000,1997.5000,2008.5500,110089
2026-01-20,2010.8500,2015.8500,1977.2500,1989.3500,132503
2026-01-21,1968.0000,2006.5000,1967.9500,1995.9000,310504
2026-01-22,2014.7500,2019.4500,1989.6500,2002.0500,694401
2026-01-23,2019.0000,2019.0000,1980.4000,1985.2500,711974
2026-01-27,1970.0500,2003.3500,1962.4500,1971.7000,1527658
2026-01-28,1980.4500,1994.3500,1938.3000,1957.0500,831319
2026-01-29,1960.9000,1970.8500,1939.5000,1968.1500,375960
2026-01-30,1914.2000,1973.8500,1914.1500,1968.1000,106751
2026-02-01,1970.6500,1976.8000,1902.8000,1946.2500,181403
2026-02-02,1927.9500,1969.1000,1927.9500,1965.6000,39649
2026-02-03,2020.5500,2040.0000,1981.0000,1997.2500,212530
2026-02-04,1990.1000,2034.4000,1990.1000,2025.4000,185630
2026-02-05,2017.5500,2022.9000,1985.0000,1992.0500,233531
2026-02-06,1997.0000,2046.7500,1990.0000,2038.3500,188634
2026-02-09,2044.0500,2055.7500,2029.5000,2038.5500,84641
2026-02-10,2050.2500,2057.0000,2008.0000,2010.8000,1191121
2026-02-11,2007.1500,2020.7500,1996.3000,2012.9500,243077
2026-02-12,2012.2500,2027.0000,2009.4500,2015.1000,946737
2026-02-13,2019.8500,2024.1000,1995.0000,2004.6000,83122
2026-02-16,2013.8000,2032.9500,1995.7000,2029.4000,111627
2026-02-17,2029.1500,2037.9000,2013.5000,2019.7500,160935
2026-02-18,2019.7500,2029.3500,2015.0000,2021.4500,110559
2026-02-19,2038.8500,2038.8500,1975.8500,1990.3000,300169
