date,open,high,low,close,volume
2025-11-11,1515.9000,1517.4500,1505.7000,1514.8000,89852
2025-11-12,1507.6000,1528.0000,1507.6000,1519.9000,123028
2025-11-13,1519.9000,1534.7500,1515.5000,1525.8000,41124
2025-11-14,1525.2000,1534.6000,1523.0000,1531.6500,30581
2025-11-17,1539.2500,1539.2500,1526.9500,1536.2500,52745
2025-11-18,1535.9500,1535.9500,1512.0000,1514.6500,25355
2025-11-19,1512.0000,1529.2500,1505.1000,1526.3500,23360
2025-11-20,1525.1500,1534.0000,1519.1000,1528.9500,161158
2025-11-21,1527.3000,1527.3000,1508.5000,1511.3500,38995
2025-11-24,1512.7500,1524.3000,1499.7500,1503.9000,36758
2025-11-25,1498.2500,1522.1500,1498.2500,1507.0500,17681
2025-11-26,1505.4500,1525.8000,1505.4500,1523.4500,15151
2025-11-27,1521.4500,1530.4000,1520.7000,1524.5500,7266
2025-11-28,1530.1500,1535.8000,1520.0500,1530.9500,19937
2025-12-01,1532.0000,1536.2000,1518.0000,1523.8000,36578
2025-12-02,1516.0500,1531.0000,1513.4500,1516.6500,31331
2025-12-03,1516.6500,1522.1500,1495.9500,1508.1000,25061
2025-12-04,1502.4000,1526.0000,1502.4000,1521.2000,82472
2025-12-05,1523.3500,1527.0000,1513.7500,1520.5500,19911
2025-12-08,1515.0000,1517.5000,1495.0000,1497.4500,13965
2025-12-09,1497.5000,1502.0000,1487.0000,1490.7000,23472
2025-12-10,1491.0500,1505.0000,1485.0000,1489.1500,16354
2025-12-11,1500.6500,1513.4000,1492.8000,1512.1000,16806
2025-12-12,1520.0000,1523.0500,1511.0500,1517.2000,11944
2025-12-15,1514.3500,1515.0000,1498.3500,1507.2500,22157
2025-12-16,1501.9000,1507.7000,1496.0500,1500.0000,13569
2025-12-17,1493.1000,1503.1500,1491.0000,1496.9500,14202
2025-12-18,1492.1000,1511.0000,1492.1000,1499.1000,204162
2025-12-19,1496.0000,1520.0000,1496.0000,1517.0000,22763
2025-12-22,1516.9500,1523.7000,1508.2500,1512.5000,78440
2025-12-23,1516.4000,1521.0000,1498.7000,1500.4000,15841
