date,open,high,low,close,volume
2025-11-06,378.2000,378.7000,372.7000,373.1000,822319
2025-11-07,372.5500,376.5500,371.4000,376.1500,133090
2025-11-10,376.0000,382.2000,376.0000,381.3000,339339
2025-11-11,381.3000,383.2000,378.6500,382.7000,279425
2025-11-12,384.1000,387.5500,383.2500,386.4500,127805
2025-11-13,386.0500,387.3500,383.0000,383.3000,275820
2025-11-14,383.0000,387.5000,382.3500,387.1500,339152
2025-11-17,386.7500,389.0000,386.2500,388.1500,499409
2025-11-18,387.5500,387.7500,383.0000,384.0500,383375
2025-11-19,382.5500,383.6500,378.5000,379.2500,396930
2025-11-20,379.8000,381.0000,377.6000,379.7000,210174
2025-11-21,378.0000,380.5000,377.5500,378.1500,372521
2025-11-24,378.2000,378.2500,372.0500,372.7500,322239
2025-11-25,372.8000,373.3500,369.5500,370.0500,510368
2025-11-26,372.5000,377.6000,371.3000,377.3000,258316
2025-11-27,377.3000,378.8000,376.2500,378.3000,838160
2025-11-28,379.0000,379.7000,374.8500,375.8500,463370
2025-12-01,376.2500,380.1500,375.8500,379.8500,329246
2025-12-02,378.0000,379.4500,376.8000,378.9000,437068
2025-12-03,379.0000,379.0000,372.1500,374.8000,871589
2025-12-04,374.8500,379.5000,374.0000,379.0500,641797
2025-12-05,378.4500,380.5500,376.6000,380.1000,799538
2025-12-08,380.1500,380.3500,375.6500,377.1500,851579
2025-12-09,376.8500,381.1000,373.5000,379.1000,488242
2025-12-10,378.9500,382.8500,378.7000,382.3000,278869
2025-12-11,382.1500,385.2500,380.5000,383.8500,352716
2025-12-12,384.1500,385.7000,382.3000,383.3000,67639
2025-12-15,384.9500,384.9500,380.0500,384.4500,160374
2025-12-16,382.0500,383.5500,378.5000,381.7000,814943
2025-12-17,380.1000,385.5000,380.1000,384.7500,512350
2025-12-18,384.7000,386.4500,382.7000,385.2500,244303
2025-12-19,384.0500,387.2500,383.5000,385.6500,365741
2025-12-22,385.1500,386.9500,384.1000,386.5000,252221
2025-12-23,387.4500,400.9000,386.3000,400.3500,1960487
2025-12-24,403.2000,412.4000,401.8000,402.5000,944720
2025-12-26,404.4500,408.3500,400.6000,401.8500,469665
