date,open,high,low,close,volume
2025-11-11,1207.6000,1214.7500,1199.0000,1211.3500,22981
2025-11-12,1221.8500,1234.8500,1214.5500,1229.2500,62111
2025-11-13,1241.7500,1242.0000,1227.6500,1234.5500,33002
2025-11-14,1241.3000,1249.4000,1231.8500,1244.9500,22038
2025-11-17,1249.6000,1250.2500,1240.5000,1244.5000,16382
2025-11-18,1241.1500,1246.3000,1232.6000,1243.5500,74594
2025-11-19,1243.1000,1252.2500,1237.5000,1250.1000,65197
2025-11-20,1253.8500,1253.8500,1237.6000,1247.6500,23640
2025-11-21,1247.2500,1250.7500,1238.0000,1244.5500,132936
2025-11-24,1246.0000,1261.9000,1218.9000,1224.7500,78287
2025-11-25,1232.3000,1250.9000,1231.8500,1235.9500,39339
2025-11-26,1238.8500,1251.0000,1235.1000,1248.3500,30494
2025-11-27,1246.6500,1255.9000,1240.8500,1250.5000,90409
2025-11-28,1250.0000,1260.0000,1245.0000,1258.1500,43484
2025-12-01,1259.4000,1268.1000,1249.0000,1260.0000,70485
2025-12-02,1269.8500,1278.3500,1262.7000,1276.3000,26367
2025-12-03,1282.0000,1292.7000,1269.0500,1280.5500,97792
2025-12-04,1276.7500,1282.5500,1266.7000,1277.0000,141505
2025-12-05,1277.0000,1282.7000,1271.9500,1275.0500,164697
2025-12-08,1275.2000,1278.2500,1264.0000,1267.1500,162503
2025-12-09,1267.0000,1267.1000,1241.8000,1246.2500,135836
2025-12-10,1245.1000,1261.9000,1245.1000,1251.1000,77746
2025-12-11,1256.8500,1276.5000,1249.5500,1272.9500,86758
2025-12-12,1276.5500,1280.5000,1267.2500,1279.6500,98088
2025-12-15,1278.4500,1282.5000,1263.6500,1280.4000,73178
2025-12-16,1276.8500,1282.1500,1272.9000,1279.0000,159917
2025-12-17,1277.9000,1280.0000,1267.5000,1272.0000,21974
2025-12-18,1271.0000,1281.1000,1262.0000,1279.6000,22757
2025-12-19,1272.7500,1291.0000,1269.6000,1278.9000,11355
2025-12-22,1278.9000,1286.4000,1277.0500,1283.8500,35372
2025-12-23,1286.5000,1288.6000,1278.0000,1283.0000,30262
2025-12-24,1282.0000,1284.5000,1253.0000,1266.3500,55663
2025-12-25,1266.3500,1266.3500,1266.3500,1266.3500,0
