date,open,high,low,close,volume
2025-11-06,6930.0500,6975.0000,6795.0000,6803.8500,5662
2025-11-07,6800.0000,6898.1500,6720.1500,6886.8000,6077
2025-11-10,6899.9500,6911.2000,6801.0000,6862.0500,8173
2025-11-11,6867.1000,6890.2000,6755.0000,6874.5500,6034
2025-11-12,6897.1500,6921.0000,6840.0000,6878.6500,7715
2025-11-13,6885.0000,6940.6000,6765.0000,6830.8000,11388
2025-11-14,6815.0000,6826.3000,6670.0000,6691.3500,19953
2025-11-17,6724.8000,6810.0000,6677.1000,6799.9000,7457
2025-11-18,6825.1000,6851.0000,6751.0500,6811.9500,6888
2025-11-19,6800.0000,6910.3500,6765.0000,6895.0000,3932
2025-11-20,6895.4500,7138.9500,6886.8500,7124.2500,19001
2025-11-21,7128.0000,7209.4500,7087.8000,7134.0000,22791
2025-11-24,7139.2000,7287.6000,7139.2000,7257.5500,16388
2025-11-25,7278.7500,7278.7500,7185.0000,7217.2000,6982
2025-11-26,7230.0000,7272.0000,7181.0000,7198.2500,5031
2025-11-27,7259.0500,7259.0500,6983.4000,6997.9000,13569
2025-11-28,7006.7500,7062.9000,6959.2000,7055.3500,6840
2025-12-01,7041.0500,7252.2000,7028.0500,7124.7500,22627
2025-12-02,7150.0000,7190.7500,7095.0000,7114.3500,4932
2025-12-03,7107.9500,7107.9500,7042.0500,7082.1500,4671
2025-12-04,7065.7500,7165.0000,7065.7500,7098.8500,6233
2025-12-05,7101.4000,7216.4500,7078.7000,7208.1000,7087
2025-12-08,7208.3500,7230.0000,7112.3500,7139.1000,11034
2025-12-09,7142.0500,7195.0000,7055.0000,7123.5500,5074
2025-12-10,7113.0500,7290.0000,7113.0500,7233.8500,13461
2025-12-11,7230.5500,7324.0000,7220.1000,7255.2500,8766
2025-12-12,7252.5000,7269.8500,7191.0500,7226.4500,4513
2025-12-15,7200.0000,7200.0000,7095.0000,7120.1500,5232
2025-12-16,7126.0000,7126.0000,7040.0000,7060.2000,3296
2025-12-17,7099.0000,7177.1000,7077.0000,7120.1500,316176
2025-12-18,7155.0000,7155.0000,7016.7500,7105.3000,9960
2025-12-19,7099.6000,7236.0000,7077.5500,7217.2500,6116
2025-12-22,7217.9500,7310.0000,7217.9500,7291.1500,8542
2025-12-23,7325.0000,7337.5500,7280.0000,7299.0000,7016
2025-12-24,7290.2000,7349.5000,7249.1500,7312.8500,3390
2025-12-26,7322.8500,7362.0000,7274.4000,7328.1500,7617
2025-12-29,7346.3000,7373.0000,7231.0000,7266.6500,20849
2025-12-30,7253.5000,7309.9500,7145.0000,7204.1000,6354
2025-12-31,7209.8000,7320.8500,7141.2000,7312.1000,8515
2026-01-01,7336.6500,7360.0000,7274.5000,7347.7000,4771
2026-01-02,7363.9500,7377.4500,7300.0000,7334.7500,3982
2026-01-05,7335.0500,7514.2000,7329.2000,7482.0500,15899
2026-01-06,7497.3000,7569.0000,7487.2500,7525.6000,8628
2026-01-07,7534.8500,7594.0000,7490.0000,7584.3000,36944
2026-01-08,7571.3500,7595.0000,7540.0000,7549.1500,9351
2026-01-09,7574.0000,7610.0000,7490.0000,7507.1500,16766
2026-01-12,7480.0000,7500.0500,7323.3000,7436.9000,9886
2026-01-13,7460.1500,7512.0000,7349.5000,7400.7000,4040
2026-01-14,7400.1500,7400.1500,7234.8500,7354.5000,14003
2026-01-16,7288.3000,7415.0000,7288.3000,7314.8500,7415
2026-01-19,7315.0000,7375.6000,7271.0000,7319.6000,1827
2026-01-20,7325.0000,7368.0000,7131.1500,7174.7500,1871
2026-01-21,7082.3000,7214.0500,7003.4000,7144.2500,9449
2026-01-22,7126.3000,7324.0000,7025.8500,7047.5500,6179
2026-01-23,7055.0500,7090.9500,6953.5500,6974.0000,7812
2026-01-27,7020.0000,7174.9500,6909.0500,7161.4000,7287
2026-01-28,7150.0000,7150.0000,6851.2000,7070.4500,37450
2026-01-29,7071.0500,7105.0000,6974.5500,7053.4500,6050
2026-01-30,7000.0000,7144.0000,6989.1500,7122.3000,5131
2026-02-02,6849.4000,6997.2500,6743.8000,6985.3000,13798
2026-02-03,7211.0000,7258.4500,7056.1000,7213.5500,8051
2026-02-04,7215.0000,7328.3000,7170.7500,7277.3000,3208
2026-02-05,7280.6500,7304.9500,7179.8500,7208.4500,2267
2026-02-06,7230.0000,7230.0000,7113.0000,7176.2500,1739
2026-02-09,7120.0000,7215.5000,7080.9500,7191.3000,17233
2026-02-10,7298.0000,7325.0000,7204.5000,7296.2500,8763
2026-02-11,7496.2500,7803.0000,7496.2000,7773.0500,167584
2026-02-12,7773.1000,7968.1500,7760.5500,7943.1000,76630
2026-02-13,7939.9000,8116.0000,7868.9500,8065.5000,52156
2026-02-16,8069.0000,8087.7000,7964.3000,8011.4000,20432
2026-02-17,7945.5000,8050.0000,7927.4000,8032.5000,11053
2026-02-18,8032.4500,8040.0000,7945.0000,8013.2500,5784
2026-02-19,8020.4000,8140.0000,7888.2000,7897.7500,18377
2026-02-20,7929.6500,7978.0000,7889.7000,7937.3500,9014
2026-02-23,7976.5500,8059.9500,7940.0000,8036.7500,10918
2026-02-24,8024.0000,8059.0500,7901.2500,7929.2500,16649
2026-02-25,7942.8000,8079.5000,7775.0000,8010.4500,17384
2026-02-26,8050.5000,8220.0000,8029.7500,8192.2000,16159
2026-02-27,8225.0000,8232.8000,7985.7000,8015.7000,20185
2026-03-02,7502.8000,7998.2500,7502.8000,7817.0000,29817
2026-03-04,7780.0000,7780.0000,7571.7000,7629.4500,16094
2026-03-05,7661.7500,7799.3000,7621.0000,7749.5000,13773
2026-03-06,7748.9500,7748.9500,7605.0000,7618.6500,9009
2026-03-09,7522.0500,7522.1000,7235.2000,7269.3500,193126
2026-03-10,7394.8000,7564.2000,7318.0000,7533.9000,39901
2026-03-11,7606.0500,7606.0500,7223.4500,7251.7500,20159
