date,open,high,low,close,volume
2025-11-11,302.2000,307.7000,300.1500,305.7500,3659177
2025-11-12,306.9500,312.9000,306.9500,308.9000,965701
2025-11-13,308.8000,309.0000,296.7000,297.7000,5417516
2025-11-14,295.4500,305.2500,294.3000,303.5500,940984
2025-11-17,303.5000,309.8000,300.6500,309.4500,576539
2025-11-18,311.1500,312.3500,304.6000,305.9000,3622167
2025-11-19,305.4000,308.2000,302.9500,306.5000,602171
2025-11-20,308.0500,308.7000,304.6500,307.0000,3278013
2025-11-21,305.0000,305.9000,301.5000,302.0500,589813
2025-11-24,297.8000,304.3000,295.8000,300.9500,1608516
2025-11-25,302.5500,305.9000,300.5500,302.5500,597218
2025-11-26,300.5000,307.0000,300.5000,306.8000,912578
2025-11-27,307.2500,309.0000,300.7000,302.6500,426470
2025-11-28,302.3500,304.6000,299.6000,300.1500,264396
2025-12-01,301.3000,305.2500,300.2000,301.5000,521041
2025-12-02,300.8000,301.7500,297.0000,300.5500,920819
2025-12-03,299.2500,302.9000,296.0500,297.8500,752612
2025-12-04,297.8500,298.7000,292.5000,295.8000,1047941
2025-12-05,295.0000,299.5500,291.1500,292.4000,840582
2025-12-08,290.2000,297.3500,284.1000,285.2500,2017202
2025-12-09,283.2500,292.3000,280.1000,291.7000,1301248
2025-12-10,288.2000,293.0000,282.0500,283.3500,786241
2025-12-11,283.1500,291.9000,283.0500,291.1000,1028403
2025-12-12,289.9000,298.9500,288.9500,298.0000,1189623
2025-12-15,293.1000,299.5500,293.1000,298.3500,996780
2025-12-16,298.2500,298.3000,282.6500,284.3500,2808411
2025-12-17,286.7000,290.5000,283.5500,284.3500,1641064
2025-12-18,284.7500,285.5000,281.6000,284.8500,1163858
2025-12-19,286.0500,288.4500,285.3500,286.0000,486644
2025-12-22,286.2500,287.8500,285.2500,286.8000,519261
2025-12-23,287.0000,288.0000,284.0000,284.4000,614881
2025-12-24,283.9500,286.0000,283.1000,284.8000,638215
2025-12-25,284.8000,284.8000,284.8000,284.8000,0
2025-12-26,282.4500,284.5000,279.7000,281.6000,434256
2025-12-29,280.7500,286.0000,280.7500,282.9500,456132
2025-12-30,282.9500,282.9500,275.3000,277.0000,1050329
2025-12-31,276.9000,280.2000,275.4000,277.9500,2867840
2026-01-01,278.4000,284.8500,278.4000,283.6500,443471
2026-01-02,284.0000,287.7000,283.4500,284.1500,307227
2026-01-05,281.7000,283.7500,279.5000,281.8000,1022755
2026-01-06,281.5000,283.1000,276.2500,278.7500,9711794
2026-01-07,276.9500,286.3000,276.9500,280.9500,603615
2026-01-08,280.6000,287.4000,279.0000,283.5000,1086863
2026-01-09,283.5000,292.9500,281.5000,284.4000,1913827
2026-01-12,284.4000,286.1000,276.8000,285.2500,1357968
2026-01-13,288.0000,297.2500,288.0000,294.5000,2712906
2026-01-14,292.9500,299.8000,291.0000,299.2000,978303
2026-01-15,299.2000,299.2000,299.2000,299.2000,0
2026-01-16,294.4000,297.0000,286.6000,287.5500,2266068
2026-01-19,288.1000,289.9000,276.6500,281.2500,4765325
2026-01-20,281.2500,282.2500,268.0000,269.9500,1820232
2026-01-21,268.6000,287.1500,268.6000,283.4000,4174485
2026-01-22,300.0000,304.2000,275.0000,276.0000,7795028
2026-01-23,276.0500,277.2500,257.8000,258.6500,7255722
2026-01-26,258.6500,258.6500,258.6500,258.6500,0
2026-01-27,260.9000,261.1000,250.4000,253.5500,3079081
2026-01-28,255.3000,267.2000,252.9000,266.4500,6003112
2026-01-29,266.0000,277.0000,263.0000,275.2000,2253762
2026-01-30,272.7000,275.9500,267.7000,273.7000,1360567
2026-02-02,266.2000,276.3000,266.1500,272.7000,707659
2026-02-03,288.4500,298.5000,278.0000,279.6500,4300263
2026-02-04,282.0000,294.9000,273.1500,294.2500,1975518
2026-02-05,293.7000,294.8000,284.6500,286.9000,2181626
2026-02-06,286.2500,288.8000,281.7000,283.4500,623774
2026-02-09,285.1000,289.5000,283.1500,288.8500,629296
2026-02-10,289.4500,308.5000,289.2000,303.8500,4872291
2026-02-11,304.0000,306.8500,299.7500,300.7000,1303442
2026-02-12,295.3500,300.0000,291.3500,297.9000,6492600
2026-02-13,297.1000,300.0000,283.8000,285.2000,4423873
2026-02-16,285.0500,289.8000,284.4000,286.0500,7566288
2026-02-17,283.6000,284.8500,277.2500,281.6000,716181
2026-02-18,283.8000,284.5000,273.2500,277.3000,1526591
2026-02-19,278.1000,279.7500,270.0000,271.9500,1128989
2026-02-20,269.5000,272.5500,267.9000,268.9500,3635743
