date,open,high,low,close,volume
2025-11-06,2799.9000,2799.9000,2691.4000,2701.7500,49128
2025-11-07,2691.3000,2738.0000,2675.4000,2723.7500,17959
2025-11-10,2730.3500,2788.1500,2729.5500,2764.0500,7795
2025-11-11,2777.8500,2778.2000,2736.7500,2775.5500,5991
2025-11-12,2797.9500,2797.9500,2753.5000,2763.9500,7209
2025-11-13,2767.2500,2787.1000,2746.8500,2778.7000,6211
2025-11-14,2760.5500,2789.8500,2760.3000,2780.4000,738443
2025-11-17,2789.0000,2800.1000,2774.6500,2792.0000,5410
2025-11-18,2799.7000,2799.7000,2754.6000,2761.8500,4339
2025-11-19,2761.8500,2771.3500,2739.1000,2744.1500,140747
2025-11-20,2746.7500,2762.5000,2743.8000,2747.6000,124614
2025-11-21,2747.5500,2755.0000,2720.0000,2733.5500,3170
2025-11-24,2733.6000,2735.1000,2682.8500,2687.9000,6053
2025-11-25,2749.9500,2749.9500,2682.0000,2684.6500,3272
2025-11-26,2684.7000,2746.9000,2684.7000,2744.1500,2556
2025-11-27,2744.2000,2746.1000,2713.5000,2739.5500,4134
2025-11-28,2739.6000,2746.8500,2729.3000,2739.6500,3181
2025-12-01,2746.0500,2750.4000,2709.7500,2725.2000,4486
2025-12-02,2733.9500,2740.2500,2721.6000,2734.8500,4380
2025-12-03,2730.6000,2734.4500,2710.7500,2718.2500,1970
2025-12-04,2719.9500,2741.1000,2711.4500,2729.9000,6427
2025-12-05,2732.2000,2750.0000,2721.7000,2744.5000,1183
2025-12-08,2742.0500,2768.7000,2730.8500,2742.3500,6543
2025-12-09,2742.3000,2778.1000,2730.0000,2745.7000,3018
2025-12-10,2745.8000,2775.4000,2740.4500,2746.8500,2802
2025-12-11,2747.4000,2802.9500,2744.0000,2797.4000,33569
2025-12-12,2822.5500,2843.4500,2798.0000,2837.1000,11339
2025-12-15,2802.5500,2849.8500,2802.5500,2820.8000,4624
2025-12-16,2820.0500,2830.6500,2790.0000,2799.1500,3136
2025-12-17,2809.8500,2811.8000,2778.9000,2807.3000,4456
2025-12-18,2807.3000,2820.6500,2788.4500,2808.8000,9134
2025-12-19,2809.0500,2833.0000,2795.5500,2814.2000,5192
2025-12-22,2801.6500,2858.0000,2798.0500,2809.0000,7682
2025-12-23,2818.7000,2844.3500,2814.1000,2829.2500,4867
2025-12-24,2823.1000,2862.8500,2822.0000,2826.4000,5116
2025-12-26,2839.2000,2839.8000,2810.0000,2817.0500,3795
