date,open,high,low,close,volume
2025-11-07,1519.0000,1519.0000,1489.6000,1512.3000,94726
2025-11-10,1531.0500,1544.5000,1512.3500,1540.8000,29450
2025-11-11,1543.0500,1572.4500,1541.1000,1569.8500,137893
2025-11-12,1576.9000,1601.2000,1573.9000,1594.0000,93287
2025-11-13,1595.7000,1605.0500,1580.1500,1598.5000,114118
2025-11-14,1594.2000,1597.8000,1574.3500,1593.9500,84697
2025-11-17,1595.0000,1608.0000,1585.9000,1606.4000,81478
2025-11-18,1606.5000,1606.5500,1590.5000,1594.7500,36458
2025-11-19,1594.0000,1668.9500,1591.0000,1663.0000,165189
2025-11-20,1664.6000,1668.9500,1642.0000,1645.3500,162027
2025-11-21,1638.0000,1643.0000,1606.2000,1608.3000,933778
2025-11-24,1608.4000,1640.0000,1603.0000,1613.9500,144001
2025-11-25,1614.2000,1618.0000,1593.9500,1600.7000,46652
2025-11-26,1603.0000,1627.4000,1602.0000,1617.7500,25887
2025-11-27,1623.9500,1632.4500,1616.0000,1628.7500,153410
2025-11-28,1630.9500,1635.7500,1619.0000,1627.7500,79086
2025-12-01,1629.0000,1646.3500,1629.0000,1643.2000,55397
2025-12-02,1645.2500,1650.0000,1624.0500,1635.5000,57444
2025-12-03,1633.1500,1652.4000,1628.5000,1639.6000,94860
2025-12-04,1641.4500,1671.9500,1641.4500,1655.0000,177115
2025-12-05,1667.4500,1691.1500,1651.5500,1682.8500,156293
2025-12-08,1694.4500,1695.0000,1677.6500,1688.0000,78039
2025-12-09,1685.0000,1685.0000,1656.2500,1657.7000,118819
2025-12-10,1651.3500,1670.8500,1651.3500,1665.5500,157597
2025-12-11,1674.1500,1677.7500,1649.1500,1672.4500,102227
2025-12-12,1675.0500,1676.7000,1660.0000,1672.4000,74091
2025-12-15,1672.3500,1687.0000,1659.4000,1684.1500,75909
2025-12-16,1683.7500,1683.7500,1645.6000,1652.1500,133777
2025-12-17,1657.4000,1664.0000,1645.4500,1654.4000,39951
2025-12-18,1659.0000,1673.8500,1651.2000,1661.4500,180929
