date,open,high,low,close,volume
2025-11-06,741.1500,746.8500,734.3000,735.7000,38722
2025-11-07,734.9500,750.0000,732.0000,749.0500,44144
2025-11-10,749.9500,759.7500,749.6000,750.3000,32582
2025-11-11,758.7500,765.0000,747.4500,763.8500,25312
2025-11-12,769.8000,785.9000,766.4000,783.6500,60562
2025-11-13,780.3500,786.0000,778.3500,781.8500,49520
2025-11-14,780.7500,780.7500,769.4000,772.5500,19187
2025-11-17,773.6500,777.7500,765.2000,770.3000,17157
2025-11-18,769.2000,769.2000,760.3500,761.5500,23858
2025-11-19,758.9500,761.9500,755.6000,761.1000,11463
2025-11-20,759.3000,765.6000,750.1000,763.0500,38933
2025-11-21,762.8000,766.0500,759.0500,763.8500,26519
2025-11-24,764.3500,765.2500,759.9000,761.3500,20008
2025-11-25,761.7000,770.0000,758.0000,766.5000,14713
2025-11-26,766.2500,788.5000,764.2000,786.7500,363864
2025-11-27,786.0500,786.7000,776.2000,777.3000,249366
2025-11-28,779.9500,779.9500,761.7000,764.5000,153365
2025-12-01,764.0500,768.4000,758.3500,766.7000,28665
2025-12-02,761.3000,764.4500,754.0000,759.1000,21736
2025-12-03,757.2000,757.2000,746.0000,752.0500,79944
2025-12-04,752.1000,766.0000,745.1500,761.4000,34815
2025-12-05,759.5500,771.2500,755.4000,768.2000,48043
2025-12-08,766.0500,779.7000,761.8500,763.6500,162948
2025-12-09,760.7500,765.0000,754.0000,762.6000,20205
2025-12-10,759.0000,775.8500,759.0000,770.8000,70560
2025-12-11,776.5500,777.3500,763.0500,775.2000,51357
2025-12-12,779.9000,779.9000,770.3500,777.7000,8277722
2025-12-15,777.6000,777.6000,766.3500,772.2500,25824
2025-12-16,772.2500,782.0000,763.0000,764.4500,45244
2025-12-17,763.8000,764.4500,749.3500,753.5000,54533
2025-12-18,755.0000,758.0000,749.3000,756.7500,35966
2025-12-19,750.6000,771.0500,750.6000,767.3000,31838
2025-12-22,764.5000,769.1000,760.0000,761.7000,23530
2025-12-23,756.5500,764.8500,756.5500,763.9000,23751
2025-12-24,765.7500,767.1500,754.6000,755.5000,10919
2025-12-26,752.1500,754.4500,745.5000,748.4000,40969
2025-12-29,747.0000,751.0000,742.2000,746.7000,94655
2025-12-30,746.8000,750.0000,736.0000,742.4000,156859
