date,open,high,low,close,volume
2025-11-07,788.8500,802.7500,784.1500,790.4000,542790
2025-11-10,793.2500,799.7000,784.0000,785.1500,421617
2025-11-11,791.8000,795.0000,778.3000,793.8500,351479
2025-11-12,795.4000,809.0000,793.0000,794.0500,530834
2025-11-13,799.8500,816.1000,799.8500,812.1500,210328
2025-11-14,807.9500,812.1500,796.0000,803.3500,119442
2025-11-17,803.6500,818.3000,799.4500,807.2500,397688
2025-11-18,807.1500,807.1500,787.9500,797.2000,169699
2025-11-19,794.6500,797.0000,790.0000,790.7000,80166
2025-11-20,798.8000,802.6000,790.0000,799.6000,158082
2025-11-21,788.0000,788.0000,776.0500,777.1000,299810
2025-11-24,780.4000,788.0000,772.2500,774.8500,175323
2025-11-25,780.4000,791.6000,773.8000,788.5500,349748
2025-11-26,790.8500,802.7000,788.4000,799.6000,258210
2025-11-27,808.7000,814.0000,800.3000,807.3000,119814
2025-11-28,814.5000,814.8500,806.8500,808.4500,293340
2025-12-01,808.8500,817.7500,808.2500,811.1500,73808
2025-12-02,811.1500,813.2000,802.1000,806.2000,63635
2025-12-03,814.2000,819.9000,801.5000,816.8500,241364
2025-12-04,822.7500,826.5000,809.0000,810.6000,153974
2025-12-05,812.8500,831.5500,808.2000,823.1500,225676
2025-12-08,823.2000,833.2000,817.5000,819.0500,88666
2025-12-09,820.0000,820.0000,803.3000,812.2500,100376
2025-12-10,815.0000,831.8500,815.0000,821.8000,193170
2025-12-11,828.8500,830.5000,820.9000,824.5500,142140
2025-12-12,825.2500,855.0000,825.2500,852.3000,3296847
2025-12-15,852.3000,856.4000,845.1500,847.7000,112939
2025-12-16,847.6500,847.6500,831.0500,837.3500,43415
2025-12-17,843.0000,851.9000,842.3000,848.6500,76656
2025-12-18,851.4500,862.0000,847.8000,857.1000,103116
2025-12-19,860.0000,864.5000,847.6500,851.7500,106845
2025-12-22,856.7000,872.6500,856.7000,864.4500,114437
2025-12-23,871.9500,871.9500,861.3500,863.9000,202228
2025-12-24,864.0500,882.3000,862.2000,864.2000,169806
2025-12-26,868.6000,874.5000,860.9000,872.8000,80634
2025-12-29,890.7000,890.7000,861.0500,865.2500,164777
