date,open,high,low,close,volume
2025-11-07,2411.8000,2425.0000,2400.5500,2414.5000,71988
2025-11-10,2390.2000,2427.8000,2390.2000,2409.0000,81342
2025-11-11,2410.3999,2432.0000,2404.0000,2428.8501,42487
2025-11-12,2418.2000,2437.1499,2416.1001,2424.3501,69788
2025-11-13,2425.8501,2430.0000,2404.0000,2407.3000,381294
2025-11-14,2407.3000,2430.6001,2392.0000,2426.7500,30512
2025-11-17,2428.3000,2437.3000,2416.3000,2426.1499,42628
2025-11-18,2422.8000,2422.8000,2402.0000,2403.6499,83796
2025-11-19,2417.8999,2450.3999,2412.0000,2440.7500,41074
2025-11-20,2451.8000,2458.8000,2423.9500,2429.1001,319983
2025-11-21,2435.0500,2443.1000,2415.0000,2434.3500,57838
2025-11-24,2436.2000,2445.6500,2415.3000,2422.3000,40489
2025-11-25,2422.3000,2424.1500,2407.0000,2413.9000,32843
2025-11-26,2413.9000,2428.0000,2410.0000,2425.5500,41696
2025-11-27,2435.7500,2459.4500,2425.3000,2451.1001,381430
2025-11-28,2413.1201,2431.7766,2408.6899,2428.7739,25342
2025-12-01,2427.7893,2449.2024,2419.9133,2425.6235,72572
2025-12-02,2432.6626,2445.6089,2424.7373,2439.0127,53884
2025-12-03,2441.5725,2445.8057,2366.5039,2416.2214,111332
2025-12-04,2414.9417,2443.5415,2385.3079,2423.9990,465721
2025-12-05,2424.0000,2424.0000,2289.0000,2339.0000,68010
2025-12-08,2346.0500,2348.6001,2302.3000,2314.3999,122813
2025-12-09,2314.4500,2328.7000,2298.0000,2306.3501,60958
2025-12-10,2304.0000,2317.0500,2294.8000,2301.7000,169184
2025-12-11,2300.0000,2312.0000,2292.3501,2304.7000,391982
2025-12-12,2306.3000,2309.0000,2245.3501,2261.0500,75039
2025-12-15,2261.0500,2298.3000,2251.8501,2293.2000,72777
2025-12-16,2292.0000,2301.9500,2277.0000,2279.8000,23497
2025-12-17,2277.8000,2286.3501,2269.0000,2275.7000,36034
2025-12-18,2265.7500,2279.2000,2254.5000,2264.2000,287337
2025-12-19,2260.3501,2284.2500,2260.3501,2281.8000,26621
2025-12-22,2270.2500,2294.5000,2270.2500,2289.0500,43564
2025-12-23,2289.0500,2310.3501,2280.3999,2301.3999,40709
2025-12-24,2298.3000,2303.9500,2278.0500,2282.8999,81745
2025-12-26,2280.0000,2289.5000,2275.2000,2285.5500,48290
2025-12-29,2275.8999,2298.0000,2275.0000,2292.1001,65083
2025-12-30,2292.1001,2297.7000,2282.1001,2290.1001,45472
2025-12-31,2292.2000,2324.9500,2289.5500,2315.3000,62988
2026-01-01,2319.5500,2326.7500,2300.0000,2323.0000,129047
2026-01-02,2323.1001,2357.5000,2322.0500,2347.8000,78148
2026-01-05,2335.2000,2394.0000,2335.2000,2383.7500,36073
2026-01-06,2386.5000,2427.7500,2368.6499,2425.3501,47440
2026-01-07,2415.0000,2421.5000,2381.0500,2396.3999,69007
2026-01-08,2396.3999,2418.3000,2367.0000,2386.5000,222767
2026-01-09,2386.0000,2386.0000,2362.0000,2373.7500,101138
2026-01-12,2355.3000,2413.3501,2355.3000,2406.0500,102420
2026-01-13,2406.0000,2423.1001,2365.0000,2389.8999,83158
2026-01-14,2391.1001,2391.4500,2340.3501,2353.4500,207082
2026-01-16,2383.4500,2383.4500,2350.0000,2359.6499,84653
2026-01-19,2352.0000,2425.0000,2352.0000,2413.1499,31833
2026-01-20,2424.0000,2438.5000,2367.8501,2376.5000,28285
2026-01-21,2378.6001,2400.9500,2361.5000,2367.1499,88022
2026-01-22,2367.2000,2400.0000,2365.5500,2390.0500,185012
2026-01-23,2390.2500,2433.7500,2376.2500,2412.0500,29145
2026-01-27,2405.7000,2420.0500,2380.2000,2400.3000,53815
2026-01-28,2400.5500,2419.3000,2340.5000,2380.3501,71904
2026-01-29,2373.7500,2375.3999,2311.3501,2351.6499,97406
2026-01-30,2335.3501,2382.6001,2335.3501,2373.6499,33200
2026-02-01,2373.6499,2384.3000,2329.5000,2351.1499,69373
2026-02-02,2351.2500,2359.3501,2302.3501,2355.8000,35820
2026-02-03,2399.6001,2399.6001,2344.6499,2369.3501,29697
2026-02-04,2350.2500,2394.0500,2350.2500,2371.3501,46007
2026-02-05,2355.0500,2423.8501,2351.3000,2354.0000,65747
2026-02-06,2354.0000,2429.3501,2337.2500,2423.7500,27446
2026-02-09,2427.0000,2438.9500,2402.3999,2433.9500,72213
2026-02-10,2433.9500,2458.0000,2431.3999,2454.0500,19959
2026-02-11,2452.6001,2470.3000,2446.2000,2462.4500,53168
2026-02-12,2462.9500,2479.7000,2350.3501,2410.0500,201082
2026-02-13,2400.0000,2400.0000,2300.0000,2305.2000,165331
2026-02-16,2305.4500,2327.0000,2288.2000,2318.8501,487307
2026-02-17,2300.7500,2322.8000,2300.7500,2312.2000,19569
2026-02-18,2304.6001,2329.6001,2304.6001,2323.7000,99305
2026-02-19,2344.2000,2344.2000,2276.0000,2279.5000,50018
2026-02-20,2298.0000,2331.0000,2279.0000,2315.0000,129254
2026-02-23,2320.1499,2349.8501,2320.1499,2344.8501,83557
2026-02-24,2344.0500,2371.0500,2332.2000,2359.3000,40653
2026-02-25,2366.0000,2379.3999,2349.0500,2374.5500,105150
2026-02-26,2374.5500,2386.1001,2355.5000,2383.6499,70201
2026-02-27,2367.0500,2378.7500,2331.0000,2338.2500,67137
2026-03-02,2275.6499,2353.0000,2275.6499,2319.8000,140840
2026-03-04,2300.1001,2311.7000,2252.5000,2262.6499,66525
2026-03-05,2270.0500,2275.0000,2229.7000,2253.8000,85565
2026-03-06,2253.2500,2253.2500,2220.0000,2226.1001,61648
2026-03-09,2195.2500,2200.7000,2170.5000,2194.0000,67519
2026-03-10,2213.2500,2219.6001,2175.3501,2191.8000,14331
2026-03-11,2197.6001,2197.6001,2156.0000,2161.7500,49000
2026-03-12,2168.9500,2168.9500,2109.8000,2135.4500,76101
2026-03-13,2144.8500,2191.8000,2121.4000,2160.5500,132817
2026-03-16,2161.0000,2186.0000,2154.0000,2174.4500,87420
2026-03-17,2173.9500,2183.1500,2147.2500,2158.5000,91699
2026-03-18,2167.5000,2175.0000,2130.5000,2136.1500,227811
2026-03-19,2115.0000,2131.3000,2071.0000,2077.4500,110489
2026-03-20,2091.7500,2100.0000,2068.9000,2083.9000,76661
2026-03-23,2050.3000,2096.4500,2033.0000,2054.1000,164386
2026-03-24,2065.2000,2114.0000,2065.2000,2084.7000,86829
2026-03-25,2189.5000,2189.5000,2088.0000,2135.9000,288261
2026-03-27,2122.1500,2127.4500,2068.3500,2075.0000,180473
2026-03-30,2060.0500,2082.0000,2046.1000,2055.8000,164775
2026-04-01,2125.3500,2125.4000,2051.5500,2064.4500,106550
2026-04-02,2063.9500,2069.9500,2023.0500,2065.0000,75293
