date,open,high,low,close,volume
2025-11-11,1349.8500,1360.1500,1346.8000,1358.4000,184565
2025-11-12,1369.0000,1369.0000,1356.0000,1358.9500,200751
2025-11-13,1359.0000,1390.6000,1359.0000,1385.9500,1226318
2025-11-14,1377.8500,1381.5500,1363.5000,1371.9000,194359
2025-11-17,1373.2000,1382.4500,1373.2000,1378.9000,69960
2025-11-18,1382.9000,1382.9000,1369.2000,1371.9000,74895
2025-11-19,1372.0500,1384.0000,1371.9000,1383.1000,181373
2025-11-20,1383.9500,1388.0000,1375.1000,1382.9000,1024146
2025-11-21,1374.4500,1376.1500,1364.9000,1369.8000,5009717
2025-11-24,1368.7000,1376.5500,1361.0000,1368.0500,547395
2025-11-25,1366.9000,1376.8000,1354.4000,1358.0500,359756
2025-11-26,1359.0000,1376.5000,1359.0000,1374.9500,1058397
2025-11-27,1377.4500,1394.4000,1375.4500,1392.0500,1044040
2025-11-28,1392.0500,1398.0000,1386.1500,1388.7000,222468
2025-12-01,1393.0000,1400.0000,1385.3500,1389.9000,116897
2025-12-02,1381.3000,1385.0000,1371.0000,1372.6500,229471
2025-12-03,1369.6000,1393.9500,1367.5500,1391.4000,567789
2025-12-04,1389.2000,1391.8000,1380.1000,1386.5000,1056528
2025-12-05,1379.9000,1395.0500,1379.8500,1392.0000,219006
2025-12-08,1390.5000,1394.7500,1382.8000,1389.4000,107255
2025-12-09,1380.0000,1383.8000,1373.3500,1374.9000,214148
2025-12-10,1375.5000,1379.5000,1357.8000,1364.1500,511819
2025-12-11,1363.5500,1366.2000,1353.1500,1359.9500,1217779
2025-12-12,1366.1000,1370.3500,1363.3500,1366.0000,732186
2025-12-15,1358.5500,1369.4000,1356.6500,1365.2000,143049
2025-12-16,1362.0000,1368.0500,1355.5500,1366.0000,118442
2025-12-17,1366.0000,1366.0000,1343.2000,1352.9500,346718
2025-12-18,1349.9500,1369.5000,1345.0000,1356.9000,976737
2025-12-19,1356.8500,1359.8500,1351.0000,1354.1500,250017
2025-12-22,1356.0000,1371.0000,1354.3000,1368.4000,148674
2025-12-23,1364.9500,1365.0500,1357.4000,1363.0500,113555
2025-12-24,1363.0500,1368.1500,1357.8000,1359.5000,545484
2025-12-25,1359.5000,1359.5000,1359.5000,1359.5000,0
2025-12-26,1357.0000,1362.0000,1348.5000,1350.5500,52337
2025-12-29,1350.6000,1355.0000,1341.9000,1343.2000,121640
2025-12-30,1339.5000,1347.4000,1338.3000,1342.1500,278304
2025-12-31,1347.6000,1350.0000,1339.4000,1342.9000,144631
2026-01-01,1343.2000,1348.1000,1335.6000,1337.5500,862315
2026-01-02,1339.7000,1356.9500,1337.1000,1354.8000,176660
2026-01-05,1352.0500,1375.3000,1352.0500,1371.4500,339228
2026-01-06,1371.4000,1413.5000,1367.5500,1410.7500,730128
2026-01-07,1361.1500,1429.5500,1361.1500,1428.4500,2741883
2026-01-08,1425.1000,1442.2000,1423.5500,1435.3500,1638746
2026-01-09,1425.6500,1429.3500,1401.8000,1403.5500,357885
2026-01-12,1402.0000,1424.8000,1391.7500,1413.1500,248750
2026-01-13,1418.3000,1442.0000,1411.1500,1436.5500,747330
2026-01-14,1428.0000,1444.4000,1415.0000,1418.1500,700767
2026-01-15,1418.1500,1418.1500,1418.1500,1418.1500,0
2026-01-16,1415.0000,1420.6000,1400.2000,1411.6500,337891
2026-01-19,1392.1500,1399.8500,1360.0000,1379.8000,901613
2026-01-20,1371.6500,1387.7500,1371.1000,1375.3500,123595
2026-01-21,1370.0000,1371.0000,1340.0000,1348.4500,315112
2026-01-22,1352.0500,1355.0000,1338.0000,1345.6500,450812
2026-01-23,1340.0000,1354.7500,1335.7000,1343.3500,1167950
2026-01-26,1343.3500,1343.3500,1343.3500,1343.3500,0
2026-01-27,1342.9500,1368.9000,1328.6500,1363.3500,195882
2026-01-28,1358.1500,1380.0000,1358.1500,1367.4000,854427
2026-01-29,1365.8000,1387.6500,1354.8000,1384.1000,1245831
2026-01-30,1366.4500,1382.4000,1353.1000,1355.0500,222341
2026-02-02,1326.2500,1354.7000,1326.2500,1352.2000,170467
2026-02-03,1410.0000,1416.0000,1374.0000,1389.6000,767637
2026-02-04,1388.0000,1413.9000,1388.0000,1408.7000,311628
2026-02-05,1405.6000,1411.9500,1392.6000,1396.2000,1299650
2026-02-06,1396.3000,1409.9000,1394.7500,1406.6500,124906
2026-02-09,1414.9500,1414.9500,1388.8500,1397.1500,184538
