date,open,high,low,close,volume
2025-11-11,5586.9502,5800.0000,5586.9502,5784.1001,16081
2025-11-12,5749.7500,5823.2500,5749.7500,5794.4502,26738
2025-11-13,5823.4502,5936.0000,5814.2002,5907.2500,27075
2025-11-14,5927.0000,5935.0000,5864.5498,5906.6001,10654
2025-11-17,5857.3501,5896.8501,5841.7500,5876.0000,3266
2025-11-18,5875.0000,5889.0000,5732.5498,5739.5498,14315
2025-11-19,5701.2002,5770.0000,5674.9502,5761.5000,13340
2025-11-20,5789.3501,5834.5000,5752.7002,5786.8501,13329
2025-11-21,5775.2002,5871.6499,5757.0000,5840.2500,17967
2025-11-24,5924.4502,5953.0000,5783.5000,5799.9502,18323
2025-11-25,5794.0498,5795.0000,5755.0000,5779.3999,4240
2025-11-26,5780.5000,5921.0000,5780.5000,5909.0000,21457
2025-11-27,5913.0000,5958.7500,5888.2002,5917.2002,6354
2025-11-28,5890.7500,5930.0000,5884.7002,5902.7002,3065
2025-12-01,5871.0498,5913.7002,5772.0000,5790.5000,14981
2025-12-02,5790.5000,5806.2998,5679.7500,5697.7002,12001
2025-12-03,5680.0000,5692.3501,5573.7998,5592.5000,17056
2025-12-04,5499.0000,5574.1001,5401.0000,5437.6001,227592
2025-12-05,5383.3999,5474.9502,5266.0000,5371.2998,357025
2025-12-08,5100.0498,5205.0498,4842.2002,4926.5498,954043
2025-12-09,4881.0000,5015.0000,4820.0000,4963.3999,516975
2025-12-10,5012.0000,5012.0498,4790.5498,4808.3501,268852
2025-12-11,4642.2002,4848.0000,4642.1499,4819.3501,301576
2025-12-12,4830.0000,4896.2998,4818.0000,4860.8501,167096
2025-12-15,4900.0000,5014.3999,4866.0000,4965.1499,232865
2025-12-16,5018.6001,5018.6001,4951.8501,4972.8501,188807
2025-12-17,5001.0000,5001.5000,4947.0498,4979.8501,61905
2025-12-18,4980.0000,5140.7998,4956.8501,5115.2002,136065
2025-12-19,5146.9502,5166.3999,5106.0000,5149.1499,105801
2025-12-22,5165.0000,5199.9502,5113.0498,5143.2500,39643
2025-12-23,5144.0000,5171.0000,5140.6499,5154.7998,15200
2025-12-24,5150.0000,5165.0000,5048.0498,5078.5498,28592
2025-12-25,5078.5498,5078.5498,5078.5498,5078.5498,0
2025-12-26,5071.2002,5097.5498,5033.0000,5071.8999,24798
2025-12-29,5071.0000,5098.7002,5060.6499,5085.6001,22507
2025-12-30,5084.9502,5084.9502,4991.0000,5015.8501,37083
2025-12-31,5014.9502,5064.0498,4976.4502,5060.3501,41443
2026-01-01,5061.2500,5175.0000,5061.2500,5108.9502,51502
2026-01-02,5146.9502,5146.9502,5095.5498,5106.4502,17515
2026-01-05,4985.1001,5138.4502,4985.1001,5101.4502,38528
2026-01-06,5101.4502,5140.0000,4994.0000,5001.2998,17817
2026-01-07,4995.1499,5100.0000,4919.2500,4949.9502,21648
2026-01-08,4961.9502,4991.0000,4895.0000,4904.3501,20781
2026-01-09,4910.1001,4920.0000,4835.0000,4844.7002,17958
2026-01-12,4813.0000,4867.5000,4771.0498,4853.7002,49917
2026-01-13,4853.6499,4853.6499,4725.5000,4759.1001,67879
2026-01-14,4748.5498,4755.0000,4697.1499,4732.7500,121447
2026-01-15,4732.7500,4732.7500,4732.7500,4732.7500,0
2026-01-16,4700.0000,4757.5000,4700.0000,4738.7002,21589
