date,open,high,low,close,volume
2025-11-07,405.4500,409.1000,403.6000,404.0000,757484
2025-11-10,404.0000,407.0000,403.9000,405.6500,914325
2025-11-11,406.5500,407.8500,404.6000,406.8500,347048
2025-11-12,407.5500,407.8000,405.6000,407.0500,360450
2025-11-13,406.4000,407.8000,404.6000,405.7500,1056900
2025-11-14,404.2500,408.8000,400.3000,407.8500,571505
2025-11-17,411.0000,411.0000,406.0500,407.1000,126084
2025-11-18,407.2000,408.5000,404.5000,405.7500,294096
2025-11-19,404.6000,405.0000,402.7000,403.5500,166598
2025-11-20,403.5500,407.0000,403.2000,405.5000,1179441
2025-11-21,405.0000,408.4000,404.4500,407.8000,447626
2025-11-24,410.9500,410.9500,402.7500,403.6000,179485
2025-11-25,404.0000,404.5000,400.1000,400.7000,313693
2025-11-26,401.0000,404.1000,401.0000,402.2500,385371
2025-11-27,403.2500,405.5500,402.0000,403.9500,1323253
2025-11-28,404.0000,404.7500,402.5500,404.4000,1317040
2025-12-01,402.3500,405.5000,398.3000,404.4000,1222939
2025-12-02,401.1500,405.4000,400.5000,401.0500,408653
2025-12-03,401.3500,402.2000,398.9000,400.5500,1385564
2025-12-04,400.2500,403.4000,399.0500,403.0500,2453631
2025-12-05,403.0500,405.3500,401.8000,404.8000,598309
2025-12-08,404.5500,405.2500,400.7000,402.1500,729597
2025-12-09,402.3500,404.5000,400.1000,400.8500,619248
2025-12-10,400.8500,404.5000,400.8500,403.1000,512726
2025-12-11,403.1000,404.0000,401.2000,403.0500,1251248
2025-12-12,402.5500,403.8500,400.0000,400.5000,703404
2025-12-15,399.6500,403.3500,399.6500,402.3000,491708
2025-12-16,401.0000,405.6500,401.0000,401.7000,622327
2025-12-17,401.6500,403.0000,399.3000,399.9500,4011014
2025-12-18,399.9500,402.0000,399.7500,400.2000,1051875
2025-12-19,400.9500,402.9500,400.3500,401.1000,989497
2025-12-22,401.1000,403.6500,401.0000,402.5500,565424
2025-12-23,401.8000,408.9000,401.8000,407.6500,609312
2025-12-24,407.0500,409.1000,405.4500,406.6500,1608273
2025-12-26,405.1000,407.2000,403.6500,404.3000,425049
2025-12-29,403.4500,404.6000,400.0000,402.4000,45895840
2025-12-30,401.8500,403.4500,400.4000,400.6000,412174
2025-12-31,401.0500,403.7000,400.6500,403.0000,365582
2026-01-01,402.2500,402.3000,362.7000,363.9500,11884140
2026-01-02,360.4500,360.4500,345.3500,350.1500,8128503
2026-01-05,350.1500,353.9000,346.3000,349.7000,3273277
2026-01-06,350.0500,350.8500,337.9000,342.4500,3855421
2026-01-07,342.8500,344.5000,339.3500,341.3500,2056507
2026-01-08,341.5000,344.9500,339.0000,340.9000,2691424
2026-01-09,340.8500,341.0000,336.1000,337.1000,2707167
2026-01-12,338.0000,339.6000,335.8000,338.3500,593084
2026-01-13,339.0500,339.7000,333.8000,334.6500,720846
2026-01-14,335.1000,336.0000,333.3500,334.7500,694387
2026-01-16,337.0500,337.5000,328.6000,329.2500,1605969
2026-01-19,329.2500,334.6500,327.2500,332.9000,1068166
2026-01-20,334.8000,334.8000,325.7500,326.4000,655509
2026-01-21,326.3500,329.5500,324.3500,324.7000,1301973
2026-01-22,326.9500,328.7000,321.2000,324.9000,753460
2026-01-23,326.5000,326.5000,322.7500,323.4500,943769
2026-01-27,324.7000,324.7000,318.0000,318.8000,1653934
2026-01-28,318.8500,323.5000,318.8500,321.2500,1343365
2026-01-29,322.9500,322.9500,318.0500,318.6500,1437498
2026-01-30,319.0000,325.1000,316.4000,322.2000,1650232
2026-02-01,325.0000,325.0000,306.3500,309.6000,2691420
2026-02-02,309.6000,315.2500,302.0000,314.8000,2404950
2026-02-03,321.1500,324.8000,311.8500,316.7000,1896084
2026-02-04,313.3500,314.9000,311.2500,313.8500,911983
2026-02-05,313.8500,315.2500,309.1500,310.2500,1451148
2026-02-06,310.2500,327.8000,308.3000,326.0500,9728925
2026-02-09,326.3000,328.6000,321.6500,322.5500,1492422
2026-02-10,322.9000,323.6500,320.7000,321.3500,431213
2026-02-11,322.3000,322.3000,316.3500,318.2000,734010
2026-02-12,318.2500,320.4000,316.9000,317.6500,1400550
2026-02-13,317.3500,318.5000,313.0000,313.6000,1013318
2026-02-16,313.3500,318.3500,313.3000,317.9500,2063904
2026-02-17,318.4500,327.8000,318.1000,325.3000,2271288
2026-02-18,326.4500,332.8500,324.8500,332.5000,3021646
2026-02-19,334.0000,334.2000,325.0000,325.7500,1153747
